korean,english,alt,situation,note,category
여기 계단이 가파르니까 조심해,Be careful on these stairs. They're pretty steep.,Watch out going down. The steps are steeper than they look.,주의,steep = 가파른,여행
이 구간 통행료가 얼마야? 현금으로 내야 해?,What's the toll for this section? Do I have to pay cash?,How much is the road toll? Can I pay by card?,통행료,toll = 통행료 / section = 구간,여행
이 자리에서 일몰 보면 진짜 예쁘겠다,The sunset from this spot must be absolutely beautiful.,Imagine watching the sunset from right here. It'd be breathtaking.,일몰,sunset = 일몰 / breathtaking = 숨 막히게 아름다운,여행
짐 무게 초과하면 추가 요금 내야 해,You have to pay extra if your luggage is overweight.,There's an excess baggage fee if you go over the weight limit.,수하물,overweight luggage = 초과 수하물 / excess baggage fee = 초과 수하물 요금,여행
와 공기 진짜 좋다 역시 시골이 다르네,The air here is so fresh. There's nothing like the countryside.,You can really feel the difference in air quality out here. City air has nothing on this.,공기,countryside = 시골 / has nothing on = ~에 비할 바 아닌,여행
거기 입장료 얼마야? 학생 할인 있어?,How much is the entrance fee? Is there a student discount?,What's the admission price? Do they have reduced rates for students?,입장료,entrance fee / admission = 입장료 / student discount = 학생 할인,여행
이 카드로 해외 결제 되나요?,Can I use this card for international purchases?,Does this card work for overseas transactions?,해외 결제,international purchases = 해외 결제 / overseas transactions = 해외 거래,여행
여기 온천 유명하대 한번 가볼까?,This place is known for its hot springs. Want to check it out?,I heard the hot springs here are amazing. Should we try them?,온천,hot springs = 온천 / check it out = 가보다,여행
여기서 일출 볼 수 있어? 몇 시에 해 떠?,Can we see the sunrise from here? What time does the sun come up?,What time is sunrise? I want to catch it from this spot.,일출,sunrise = 일출 / come up = (해가) 뜨다,여행
여기서 가장 가까운 역이 어디예요?,Where's the nearest station from here?,Which train station is closest to this location?,역 위치,nearest station = 가장 가까운 역,여행
이 가격에 조식 포함이에요?,Does this price include breakfast?,Is breakfast included in the room rate?,호텔,include breakfast = 조식 포함 / room rate = 객실 요금,여행
이거 예약금 환불 가능한가요? 일정이 바뀌어서요,Is the deposit refundable? My plans changed.,Can I get my deposit back? Something came up and I can't make it.,예약금,deposit = 예약금/보증금 / refundable = 환불 가능한,여행
이 호텔 조식 뷔페 맛있어? 포함된 거면 먹어야지,Is the hotel breakfast buffet any good? If it's included I might as well go.,The complimentary breakfast better be worth waking up early for.,호텔 조식,complimentary = 무료 / might as well = ~하는 게 낫다,여행
온라인으로 체크인 했는데 탑승권 출력해야 하나요?,I checked in online. Do I still need to print my boarding pass?,I already did online check-in. Should I get a printed pass?,공항 체크인,boarding pass = 탑승권,여행
짐 부칠 게 두 개인데 추가 요금 있어요?,I have two bags to check. Is there an extra fee?,Will I be charged for checking two bags?,수하물 접수,checked bag = 부치는 짐 / carry-on = 기내용,여행
캐리어 무게 제한이 얼마예요?,What's the weight limit for checked luggage?,How heavy can my suitcase be?,수하물 규정,weight limit = 무게 제한,여행
탑승구가 어디인지 모르겠어요,I can't find my gate. Could you help me?,Where's my boarding gate? I'm a bit lost.,공항 내 이동,gate = 탑승구,여행
비행기 좌석 창가 쪽으로 바꿀 수 있나요?,Can I switch to a window seat?,Is there any chance I could get a window seat instead?,좌석 변경,window seat = 창가 / aisle seat = 복도 쪽,여행
보안검색 줄이 너무 길어서 비행기 놓칠 것 같아요,"The security line is so long, I'm afraid I'll miss my flight.","The queue at security is huge. I might not make my flight.",공항 보안,security line = 보안검색 줄,여행
액체류는 따로 빼서 넣어야 하나요?,Do I need to take out my liquids separately?,Should I put my liquids in a separate bin?,보안검색,liquids = 액체류 / bin = 트레이,여행
노트북도 꺼내야 해요?,Do I need to take my laptop out too?,Should I remove my laptop from my bag?,보안검색,take out = remove = 꺼내다,여행
면세점 어디 있어요?,Where's the duty-free shop?,How do I get to duty-free?,면세점 찾기,duty-free = 면세,여행
면세 한도가 얼마예요?,What's the duty-free allowance?,How much can I buy duty-free?,면세 한도,allowance = 허용 한도,여행
탑승 시간이 언제예요?,What time does boarding start?,When do they start boarding?,탑승 대기,boarding time = 탑승 시간,여행
게이트가 바뀌었다고 안내가 나왔어요,They just announced a gate change.,Looks like our gate has been changed.,게이트 변경,gate change = 탑승구 변경,여행
비행기가 지연됐다는데 얼마나 기다려야 해요?,The flight's been delayed. How long do we have to wait?,Any idea how long the delay will be?,비행 지연,delay = 지연,여행
짐이 무게 초과인데 어떻게 하죠?,My bag is overweight. What are my options?,My luggage is over the weight limit. What should I do?,수하물 초과,overweight = 무게 초과,여행
우선 탑승 가능한가요?,Am I eligible for priority boarding?,Can I board early?,우선 탑승,priority boarding = 우선 탑승,여행
환승 게이트가 어디예요?,Where's the transfer gate?,Which gate do I go to for my connecting flight?,환승,connecting flight = 환승 비행기,여행
마일리지 적립하고 싶은데요,I'd like to earn miles on this flight.,Can I get mileage credit for this?,마일리지,earn miles = 마일리지 적립,여행
수하물 태그 좀 확인해 주세요,Could you double-check my luggage tag?,Can you make sure my bag is tagged correctly?,수하물 확인,luggage tag = 수하물 태그,여행
자리가 비상구 쪽인데 괜찮을까요?,I'm in an exit row. Is there anything I should know?,My seat is by the emergency exit. Any special instructions?,좌석 확인,exit row = 비상구 좌석,여행
짐을 기내에 가지고 탈 수 있나요?,Can I bring this on the plane as a carry-on?,Is this small enough for a carry-on?,기내 수하물,carry-on = 기내 반입 수하물,여행
라운지 이용하고 싶은데 어디서 신청해요?,I'd like to use the lounge. Where do I sign up?,How can I get access to the airport lounge?,라운지 이용,airport lounge = 공항 라운지,여행
출발이 몇 시간 남았는데 공항 밖에 나갔다 올 수 있나요?,I have a few hours before my flight. Can I leave the airport and come back?,Is there time to go out and come back before boarding?,공항 대기,leave the airport = 공항 밖으로 나가다,여행
비행기 타기 전에 충전할 데 있나요?,Is there a charging station near the gate?,Where can I charge my phone before boarding?,공항 충전,charging station = 충전소,여행
셀프 체크인 기계 어떻게 써요?,How do I use the self check-in kiosk?,Can you show me how the self check-in machine works?,셀프 체크인,kiosk = 키오스크 / 무인 단말기,여행
탑승권에 좌석 번호가 안 나와 있어요,My boarding pass doesn't show a seat number.,There's no seat assignment on my pass.,탑승권 문제,seat assignment = 좌석 배정,여행
위탁 수하물 하나 더 추가할 수 있어요?,Can I add one more checked bag?,Is it possible to check an additional bag?,수하물 추가,additional = 추가의,여행
게이트 앞에서 대기하면 되나요?,Should I just wait by the gate?,Do I need to stay near the gate?,탑승 대기,wait by the gate = 게이트 앞에서 대기,여행
면세점에서 산 건 기내 반입 돼요?,Can I bring duty-free purchases on the plane?,Are duty-free items allowed as carry-on?,면세품 반입,duty-free purchases = 면세 구매품,여행
수하물 찾는 곳이 어디예요?,Where's the baggage claim?,Where do I pick up my luggage?,수하물 수취,baggage claim = 수하물 수취대,여행
짐이 안 나왔어요 어디서 신고해요?,My luggage didn't come out. Where do I report it?,My bag is missing. Who should I talk to?,수하물 분실,lost luggage = 분실 수하물,여행
공항에서 시내까지 셔틀버스 있나요?,Is there a shuttle bus from the airport to downtown?,Does the airport have a shuttle to the city center?,공항 교통,shuttle bus = 셔틀버스,여행
비행기 좌석 앞뒤 간격이 좁아서 불편해요,The legroom is really tight. It's kind of uncomfortable.,There's barely any legroom in this seat.,좌석 불편,legroom = 좌석 앞뒤 간격,여행
이어폰 있나요?,Do you have any headphones?,Can I get a pair of earphones?,기내 요청,headphones = earphones = 이어폰,여행
담요 하나 더 주실 수 있나요?,Could I get an extra blanket?,May I have another blanket please?,기내 요청,blanket = 담요,여행
기내식 언제 나와요?,When will the meal be served?,What time is the in-flight meal?,기내식 문의,in-flight meal = 기내식,여행
채식 메뉴 있나요?,Do you have a vegetarian option?,Is there a veggie meal available?,기내식 선택,vegetarian option = 채식 메뉴,여행
음료 뭐 있어요?,What drinks do you have?,What beverages are available?,기내 음료,beverage = 음료,여행
맥주 한 캔 주세요,Can I get a beer please?,I'll have a beer.,기내 음료,Can I get~? = ~주세요 (편한 표현),여행
좌석 등받이 좀 세워주시겠어요?,Could you put your seat back up please?,Would you mind putting your seat upright?,좌석 조정,put your seat upright = 등받이 세우다,여행
이 좌석 리클라이닝 어떻게 해요?,How do I recline this seat?,Where's the recline button?,좌석 조정,recline = 뒤로 눕히다,여행
화장실 지금 비어 있나요?,Is the restroom free right now?,Is the lavatory available?,기내 화장실,lavatory = 기내 화장실,여행
입국신고서 작성법 좀 알려주세요,Could you help me fill out this arrival card?,How do I fill in the immigration form?,입국신고서,arrival card = immigration form = 입국신고서,여행
체류 목적란에 뭐라고 쓰면 돼요?,What should I write for purpose of visit?,What do I put under reason for stay?,입국신고서,purpose of visit = 방문 목적,여행
여행 목적은 관광이에요,I'm here for sightseeing.,The purpose of my visit is tourism.,입국 목적,sightseeing = tourism = 관광,여행
"볼펜 좀 빌려도 될까요? 입국신고서 써야 해서요","Could I borrow a pen? I need to fill out the arrival card.","Do you have a pen I could use? I need it for my landing card.",기내 요청,landing card = arrival card = 입국신고서,여행
좌석 아래 구명조끼가 있다고 했죠?,They said the life vest is under the seat right?,The life jacket is stored beneath the seat?,안전 안내,life vest = life jacket = 구명조끼,여행
기내 와이파이 되나요?,Is there Wi-Fi on this flight?,Does this plane have in-flight Wi-Fi?,기내 와이파이,in-flight Wi-Fi = 기내 와이파이,여행
기내 면세품 카탈로그 볼 수 있나요?,Can I see the in-flight duty-free catalog?,Do you have the duty-free shopping magazine?,기내 면세,catalog = 카탈로그,여행
난기류 때문에 좀 흔들리네요,It's a bit bumpy because of turbulence.,We're hitting some turbulence.,난기류,turbulence = 난기류,여행
곧 착륙하나요?,Are we landing soon?,How much longer until we land?,착륙 확인,land = 착륙하다,여행
멀미약 좀 있을까요?,Do you have anything for motion sickness?,Could I get some airsickness medicine?,기내 멀미,motion sickness = airsickness = 멀미,여행
자리 좀 바꿔 앉아도 될까요? 빈자리가 있어서요,Would it be okay if I moved to that empty seat?,Can I switch to that open seat over there?,좌석 이동,open seat = empty seat = 빈자리,여행
짐칸에 짐 좀 올려주실 수 있나요?,Could you help me put my bag in the overhead bin?,Would you mind helping me with the overhead compartment?,기내 짐,overhead bin = overhead compartment = 머리 위 짐칸,여행
착륙 시간이 현지 시간으로 몇 시예요?,What's our arrival time in local time?,When do we land in local time?,착륙 시간,local time = 현지 시간,여행
기내 엔터테인먼트 작동이 안 돼요,My in-flight entertainment isn't working.,The screen at my seat isn't turning on.,기내 장비,in-flight entertainment = 기내 엔터테인먼트,여행
트레이 테이블이 고장 났어요,My tray table is broken.,The fold-down table at my seat doesn't work.,기내 고장,tray table = 접이식 테이블,여행
USB 충전 포트가 어디 있어요?,Where's the USB charging port?,Is there a USB port at this seat?,기내 충전,charging port = 충전 포트,여행
비상시에 산소마스크는 자동으로 내려오나요?,Do the oxygen masks drop automatically in an emergency?,Will the oxygen masks come down on their own?,안전 안내,oxygen mask = 산소마스크,여행
이 비행기 시차가 몇 시간이에요?,What's the time difference at our destination?,How many hours ahead or behind is it there?,시차 확인,time difference = 시차,여행
시차 적응 팁 있어요?,Any tips for dealing with jet lag?,How do you handle jet lag?,시차 적응,jet lag = 시차 피로,여행
기장 안내 방송 뭐라고 했어요?,What did the captain just say?,Did you catch the pilot's announcement?,기내 안내,captain = pilot = 기장,여행
인터넷으로 예약했는데 확인 좀 해주세요,I booked online. Could you pull up my reservation?,I made a reservation through your website. Can you check it?,호텔 체크인,pull up = 찾아보다 / reservation = 예약,여행
트윈룸으로 예약했는데 더블룸이네요?,I booked a twin room but this looks like a double.,I requested twin beds but got a double. Can you fix that?,객실 오류,twin = 싱글 침대 2개 / double = 더블 침대 1개,여행
방에서 바다 보이는 곳으로 업그레이드 가능할까요?,Is it possible to upgrade to an ocean view room?,Could I get a room with a sea view?,업그레이드,ocean view = sea view = 바다 전망,여행
조식 몇 시부터예요?,What time does breakfast start?,When is breakfast served?,조식 확인,breakfast is served from ~ = ~시부터 조식 제공,여행
조식 포함인가요?,Is breakfast included?,Does the rate come with breakfast?,조식 포함,included = 포함된,여행
레이트 체크아웃 가능한가요?,Can I get a late checkout?,Is it possible to check out later than usual?,늦은 퇴실,late checkout = 늦은 체크아웃,여행
