english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
contumacious,"The contumacious defendant repeatedly defied the court's orders.",불복종하는,"그 불복종하는 피고인은 법원의 명령을 반복적으로 거부했다.",反抗的な,"その反抗的な被告は裁判所の命令に繰り返し反抗した。",抗拒的,"那个抗拒的被告多次违抗法庭命令。",contumaz,"El acusado contumaz desafio repetidamente las ordenes del tribunal.",bất tuân,"Bị cáo bất tuân liên tục thách thức các lệnh của tòa án.",ดื้อดึง,"จำเลยที่ดื้อดึงท้าทายคำสั่งศาลซ้ำแล้วซ้ำเล่า",membangkang,"Terdakwa yang membangkang berulang kali menentang perintah pengadilan."
cupidity,"The executive's cupidity led to a massive embezzlement scandal.",탐욕,"그 임원의 탐욕은 대규모 횡령 스캔들로 이어졌다.",強欲,"その経営者の強欲は大規模な横領スキャンダルにつながった。",贪欲,"高管的贪欲导致了一场大规模的贪污丑闻。",codicia,"La codicia del ejecutivo condujo a un escandalo masivo de malversacion.",lòng tham,"Lòng tham của giám đốc dẫn đến một vụ bê bối biển thủ lớn.",ความโลภ,"ความโลภของผู้บริหารนำไปสู่เรื่องอื้อฉาวการยักยอกครั้งใหญ่",ketamakan,"Ketamakan eksekutif itu menyebabkan skandal penggelapan besar-besaran."
deleterious,"Chronic sleep deprivation has deleterious effects on cognitive function.",해로운,"만성적인 수면 부족은 인지 기능에 해로운 영향을 미친다.",有害な,"慢性的な睡眠不足は認知機能に有害な影響を及ぼす。",有害的,"长期睡眠不足对认知功能有有害的影响。",deleterio,"La privacion cronica de sueno tiene efectos deleterios en la funcion cognitiva.",có hại,"Thiếu ngủ mãn tính có tác động có hại đến chức năng nhận thức.",เป็นอันตราย,"การอดนอนเรื้อรังมีผลเป็นอันตรายต่อการทำงานของสมอง",merusak,"Kurang tidur kronis memiliki efek merusak pada fungsi kognitif."
desultory,"His desultory approach to studying resulted in poor examination scores.",산만한,"그의 산만한 학습 방식은 시험 점수 저하로 이어졌다.",散漫な,"彼の散漫な勉強法は試験の低得点をもたらした。",散漫的,"他散漫的学习方法导致了糟糕的考试成绩。",desultorio,"Su enfoque desultorio del estudio resulto en malas calificaciones en los examenes.",tản mạn,"Cách học tản mạn của anh ấy dẫn đến điểm thi kém.",ไม่เป็นระบบ,"วิธีเรียนที่ไม่เป็นระบบของเขาส่งผลให้คะแนนสอบต่ำ",tidak terarah,"Pendekatannya yang tidak terarah dalam belajar menghasilkan nilai ujian yang buruk."
diaphanous,"The diaphanous fabric of the ancient manuscript allowed light to pass through its pages.",투명한,"그 고대 필사본의 투명한 직물은 빛이 페이지를 통과하게 했다.",透き通った,"古代写本の透き通った素材は光がページを透過することを可能にした。",透明的,"古代手稿的透明材质让光线能够穿过页面。",diafano,"El tejido diafano del antiguo manuscrito permitia que la luz pasara a traves de sus paginas.",mỏng trong,"Chất liệu mỏng trong của bản thảo cổ cho phép ánh sáng xuyên qua các trang.",โปร่งบาง,"ผ้าโปร่งบางของต้นฉบับโบราณยอมให้แสงผ่านหน้ากระดาษได้",tipis tembus pandang,"Kain tipis tembus pandang dari manuskrip kuno itu memungkinkan cahaya menembus halamannya."
diffident,"The diffident graduate student hesitated to challenge the established professor's hypothesis.",자신 없는,"그 자신 없는 대학원생은 저명한 교수의 가설에 이의를 제기하기를 주저했다.",内気な,"その内気な大学院生は著名な教授の仮説に異議を唱えることを躊躇した。",缺乏自信的,"那个缺乏自信的研究生犹豫着不敢挑战知名教授的假设。",timido,"El estudiante de posgrado timido dudo en cuestionar la hipotesis del profesor establecido.",rụt rè,"Nghiên cứu sinh rụt rè ngần ngại thách thức giả thuyết của giáo sư nổi tiếng.",ขี้อาย,"นักศึกษาบัณฑิตที่ขี้อายลังเลที่จะท้าทายสมมติฐานของศาสตราจารย์ที่มีชื่อเสียง",pemalu,"Mahasiswa pascasarjana yang pemalu ragu untuk menantang hipotesis profesor ternama."
ebullience,"The team's ebullience after the breakthrough discovery was palpable throughout the laboratory.",열광,"획기적인 발견 후 팀의 열광은 연구실 전체에서 느낄 수 있었다.",沸き立つ熱意,"画期的発見後のチームの沸き立つ熱意は研究室中で感じられた。",热情洋溢,"团队在突破性发现后的热情洋溢在整个实验室中都能感受到。",efervescencia,"La efervescencia del equipo tras el descubrimiento fue palpable en todo el laboratorio.",sự sôi nổi,"Sự sôi nổi của nhóm sau phát hiện đột phá lan tỏa khắp phòng thí nghiệm.",ความกระตือรือร้น,"ความกระตือรือร้นของทีมหลังการค้นพบครั้งสำคัญสัมผัสได้ทั่วห้องปฏิบัติการ",kegembiraan,"Kegembiraan tim setelah penemuan terobosan terasa di seluruh laboratorium."
effulgent,"The effulgent prose of the Nobel laureate captivated readers worldwide.",찬란한,"노벨상 수상자의 찬란한 산문은 전 세계 독자들을 사로잡았다.",光り輝く,"ノーベル賞受賞者の光り輝く散文は世界中の読者を魅了した。",光辉灿烂的,"诺贝尔奖获得者光辉灿烂的散文吸引了全世界的读者。",refulgente,"La prosa refulgente del laureado del Nobel cautivo a lectores de todo el mundo.",rực rỡ,"Văn xuôi rực rỡ của người đoạt giải Nobel đã mê hoặc độc giả trên toàn thế giới.",สุกสกาว,"ร้อยแก้วที่สุกสกาวของผู้ได้รับรางวัลโนเบลดึงดูดผู้อ่านทั่วโลก",cemerlang,"Prosa cemerlang dari peraih Nobel memikat pembaca di seluruh dunia."
encomium,"The department head delivered an encomium praising the retiring professor's contributions.",찬사,"학과장은 은퇴하는 교수의 공헌을 찬양하는 찬사를 전했다.",賛辞,"学科長は退職する教授の貢献を称える賛辞を述べた。",赞辞,"系主任发表了赞辞赞扬即将退休的教授的贡献。",encomio,"El jefe del departamento pronuncio un encomio elogiando las contribuciones del profesor jubilado.",lời ca ngợi,"Trưởng khoa đã đọc lời ca ngợi khen ngợi những đóng góp của giáo sư sắp nghỉ hưu.",คำสรรเสริญ,"หัวหน้าภาควิชากล่าวคำสรรเสริญยกย่องผลงานของศาสตราจารย์ที่เกษียณ",pujian,"Kepala departemen menyampaikan pujian atas kontribusi profesor yang akan pensiun."
ephemeral,"Social media trends are ephemeral and rarely influence long-term cultural shifts.",일시적인,"소셜 미디어 트렌드는 일시적이며 장기적인 문화 변화에 거의 영향을 미치지 않는다.",はかない,"ソーシャルメディアのトレンドははかなく長期的な文化的変化にはほとんど影響しない。",短暂的,"社交媒体趋势是短暂的很少影响长期文化变革。",efimero,"Las tendencias en redes sociales son efimeras y rara vez influyen en cambios culturales a largo plazo.",phù du,"Xu hướng mạng xã hội là phù du và hiếm khi ảnh hưởng đến sự thay đổi văn hóa lâu dài.",ชั่วคราว,"เทรนด์โซเชียลมีเดียเป็นเพียงชั่วคราวและแทบไม่ส่งผลต่อการเปลี่ยนแปลงทางวัฒนธรรมระยะยาว",sementara,"Tren media sosial bersifat sementara dan jarang mempengaruhi perubahan budaya jangka panjang."
fastidious,"The fastidious archivist catalogued every document with meticulous precision.",꼼꼼한,"그 꼼꼼한 기록 보관인은 모든 문서를 세심한 정밀함으로 분류했다.",気難しい,"その気難しいアーキビストはすべての文書を細心の注意で分類した。",一丝不苟的,"那位一丝不苟的档案管理员以精确的细致将每份文件编目。",meticuloso,"El archivero meticuloso catalogo cada documento con precision meticulosa.",cầu kỳ,"Người lưu trữ cầu kỳ đã phân loại mọi tài liệu với sự chính xác tỉ mỉ.",จู้จี้,"นักจดหมายเหตุที่จู้จี้จัดทำรายการเอกสารทุกฉบับด้วยความแม่นยำอย่างพิถีพิถัน",teliti,"Arsiparis yang teliti mengkatalogkan setiap dokumen dengan presisi yang cermat."
garrulous,"The garrulous colleague dominated every faculty meeting with lengthy monologues.",수다스러운,"그 수다스러운 동료는 긴 독백으로 모든 교수 회의를 지배했다.",おしゃべりな,"そのおしゃべりな同僚は長い独白で教授会を支配した。",话多的,"那个话多的同事用冗长的独白主导了每次教职会议。",charlatán,"El colega charlatan dominaba cada reunion de profesores con largos monologos.",ba hoa,"Đồng nghiệp ba hoa chi phối mọi cuộc họp khoa với những bài độc thoại dài dòng.",ช่างพูด,"เพื่อนร่วมงานที่ช่างพูดครอบงำทุกการประชุมคณาจารย์ด้วยการพูดคนเดียวยาวๆ",cerewet,"Rekan yang cerewet mendominasi setiap rapat fakultas dengan monolog yang panjang."
harangue,"The activist delivered a fiery harangue against the proposed environmental policy.",열변,"그 활동가는 제안된 환경 정책에 반대하는 열변을 토했다.",熱弁,"活動家は提案された環境政策に対する激しい熱弁を振るった。",激烈的演说,"活动家发表了一场反对拟议环境政策的激烈演说。",arenga,"El activista pronuncio una arenga ardiente contra la politica ambiental propuesta.",bài diễn thuyết dài dòng,"Nhà hoạt động đã đọc một bài diễn thuyết dài dòng phản đối chính sách môi trường đề xuất.",คำปราศรัยรุนแรง,"นักเคลื่อนไหวกล่าวคำปราศรัยรุนแรงต่อต้านนโยบายสิ่งแวดล้อมที่เสนอ",kecaman,"Aktivis itu menyampaikan kecaman berapi-api terhadap kebijakan lingkungan yang diusulkan."
iconoclast,"As an iconoclast in the field of quantum mechanics she challenged every prevailing assumption.",이단적 인물,"양자역학 분야의 이단적 인물로서 그녀는 모든 통념에 도전했다.",偶像破壊者,"量子力学の分野の偶像破壊者として彼女はすべての通説に挑戦した。",打破传统者,"作为量子力学领域的打破传统者她挑战了每一个流行的假设。",iconoclasta,"Como iconoclasta en el campo de la mecanica cuantica ella cuestiono cada supuesto prevaleciente.",người phá vỡ truyền thống,"Là người phá vỡ truyền thống trong lĩnh vực cơ học lượng tử cô ấy thách thức mọi giả định phổ biến.",ผู้ทำลายขนบธรรมเนียม,"ในฐานะผู้ทำลายขนบธรรมเนียมในสาขาควอนตัมเธอท้าทายทุกสมมติฐานที่เป็นที่ยอมรับ",pendobrak,"Sebagai pendobrak di bidang mekanika kuantum dia menantang setiap asumsi yang berlaku."
impecunious,"Many impecunious scholars relied on grants and fellowships to fund their research.",무일푼의,"많은 무일푼의 학자들은 연구 자금을 위해 보조금과 장학금에 의존했다.",金欠の,"多くの金欠の学者は研究資金を助成金やフェローシップに頼った。",贫穷的,"许多贫穷的学者依靠资助和奖学金来资助他们的研究。",sin recursos,"Muchos eruditos sin recursos dependian de becas y subsidios para financiar sus investigaciones.",nghèo túng,"Nhiều học giả nghèo túng dựa vào tài trợ và học bổng để chi trả cho nghiên cứu.",ยากจน,"นักวิชาการที่ยากจนหลายคนพึ่งพาทุนและทุนวิจัยเพื่อสนับสนุนงานวิจัย",miskin,"Banyak cendekiawan miskin mengandalkan hibah dan beasiswa untuk mendanai penelitian mereka."
jejune,"The critic dismissed the novel as jejune and lacking in intellectual depth.",유치한,"비평가는 그 소설이 유치하고 지적 깊이가 부족하다고 일축했다.",幼稚な,"批評家はその小説を幼稚で知的深みに欠けると切り捨てた。",幼稚的,"评论家认为这部小说幼稚且缺乏思想深度。",insustancial,"El critico descarto la novela como insustancial y carente de profundidad intelectual.",nhạt nhẽo,"Nhà phê bình bác bỏ cuốn tiểu thuyết là nhạt nhẽo và thiếu chiều sâu trí tuệ.",ไร้สาระ,"นักวิจารณ์ปฏิเสธนวนิยายว่าไร้สาระและขาดความลึกซึ้งทางปัญญา",dangkal,"Kritikus menilai novel itu dangkal dan kurang kedalaman intelektual."
laconic,"The surgeon's laconic post-operative report left many questions unanswered.",간결한,"외과 의사의 간결한 수술 후 보고서는 많은 의문을 남겼다.",簡潔な,"外科医の簡潔な術後報告は多くの疑問を残した。",简短的,"外科医生简短的术后报告留下了许多未解答的问题。",laconico,"El informe postoperatorio laconico del cirujano dejo muchas preguntas sin responder.",ngắn gọn,"Báo cáo hậu phẫu ngắn gọn của bác sĩ phẫu thuật để lại nhiều câu hỏi chưa được giải đáp.",สั้นกระชับ,"รายงานหลังผ่าตัดที่สั้นกระชับของศัลยแพทย์ทำให้มีคำถามหลายข้อที่ยังไม่ได้คำตอบ",singkat,"Laporan pasca-operasi yang singkat dari ahli bedah menyisakan banyak pertanyaan yang belum terjawab."
magnanimous,"The magnanimous donor established scholarships for underprivileged students.",관대한,"그 관대한 기부자는 소외된 학생들을 위한 장학금을 설립했다.",寛大な,"その寛大な寄付者は恵まれない学生のための奨学金を設立した。",宽宏大量的,"这位宽宏大量的捐赠者为贫困学生设立了奖学金。",magnanimo,"El donante magnanimo establecio becas para estudiantes desfavorecidos.",hào phóng,"Nhà tài trợ hào phóng đã thành lập học bổng cho sinh viên có hoàn cảnh khó khăn.",ใจกว้าง,"ผู้บริจาคที่ใจกว้างจัดตั้งทุนการศึกษาสำหรับนักเรียนด้อยโอกาส",dermawan,"Donatur yang dermawan mendirikan beasiswa untuk mahasiswa kurang mampu."
nascent,"The nascent field of epigenetics has transformed our understanding of heredity.",신생의,"후성유전학이라는 신생의 분야는 유전에 대한 우리의 이해를 변화시켰다.",新興の,"エピジェネティクスという新興の分野は遺伝に対する我々の理解を変えた。",新兴的,"表观遗传学这一新兴领域改变了我们对遗传的理解。",naciente,"El campo naciente de la epigenetica ha transformado nuestra comprension de la herencia.",mới hình thành,"Lĩnh vực mới hình thành của biểu sinh học đã thay đổi hiểu biết của chúng ta về di truyền.",เพิ่งเกิดขึ้น,"สาขาเพิ่งเกิดขึ้นของเอพิเจเนติกส์ได้เปลี่ยนความเข้าใจของเราเกี่ยวกับพันธุกรรม",baru berkembang,"Bidang epigenetika yang baru berkembang telah mengubah pemahaman kita tentang hereditas."
obsequious,"The obsequious assistant agreed with every suggestion regardless of its merit.",비굴한,"그 비굴한 조수는 장단점에 관계없이 모든 제안에 동의했다.",卑屈な,"その卑屈なアシスタントはメリットに関係なくすべての提案に同意した。",谄媚的,"那个谄媚的助手不管建议是否有价值都一律同意。",obsequioso,"El asistente obsequioso estuvo de acuerdo con cada sugerencia sin importar su merito.",khúm núm,"Người trợ lý khúm núm đồng ý với mọi đề xuất bất kể giá trị của nó.",ประจบสอพลอ,"ผู้ช่วยที่ประจบสอพลอเห็นด้วยกับทุกข้อเสนอแนะโดยไม่คำนึงถึงคุณค่า",menjilat,"Asisten yang menjilat setuju dengan setiap saran tanpa memandang manfaatnya."
parsimonious,"The parsimonious funding allocation left several critical research projects underfunded.",인색한,"인색한 자금 배분은 여러 핵심 연구 프로젝트의 자금 부족을 초래했다.",吝嗇な,"吝嗇な資金配分はいくつかの重要な研究プロジェクトを資金不足にした。",吝啬的,"吝啬的资金分配导致几个关键研究项目资金不足。",parsimonioso,"La asignacion parsimoniosa de fondos dejo varios proyectos de investigacion criticos sin financiacion suficiente.",keo kiệt,"Việc phân bổ ngân sách keo kiệt khiến nhiều dự án nghiên cứu quan trọng thiếu kinh phí.",ตระหนี่,"การจัดสรรทุนอย่างตระหนี่ทำให้โครงการวิจัยสำคัญหลายโครงการได้รับเงินทุนไม่เพียงพอ",pelit,"Alokasi dana yang pelit membuat beberapa proyek penelitian penting kekurangan dana."
