coordinate,We need to coordinate our schedules to find a meeting time that works for everyone.,조정하다,우리는 모두에게 맞는 회의 시간을 찾기 위해 일정을 조정할 필요가 있다.,調整する,全員に都合の良い会議時間を見つけるためにスケジュールを調整する必要がある。,协调,我们需要协调日程以找到适合每个人的会议时间。,coordinar,Necesitamos coordinar nuestros horarios para encontrar una hora de reunión que funcione para todos.,phối hợp,Chúng ta cần phối hợp lịch trình để tìm thời gian họp phù hợp cho mọi người.,ประสานงาน,เราต้องประสานตารางเวลาเพื่อหาเวลาประชุมที่เหมาะกับทุกคน,mengoordinasikan,Kita perlu mengoordinasikan jadwal untuk menemukan waktu rapat yang cocok untuk semua.
recommend,The doctor will recommend a specialist if your symptoms do not improve within the next two weeks.,추천하다,의사는 향후 2주 내에 증상이 호전되지 않으면 전문의를 추천할 것이다.,推薦する,医師は今後二週間以内に症状が改善しない場合は専門医を推薦する予定だ。,推荐,如果你的症状在接下来两周内没有改善医生会推荐一位专科医生。,recomendar,El médico recomendará a un especialista si tus síntomas no mejoran en las próximas dos semanas.,giới thiệu,Bác sĩ sẽ giới thiệu một chuyên gia nếu các triệu chứng của bạn không cải thiện trong hai tuần tới.,แนะนำ,แพทย์จะแนะนำผู้เชี่ยวชาญหากอาการของคุณไม่ดีขึ้นภายในสองสัปดาห์ข้างหน้า,merekomendasikan,Dokter akan merekomendasikan spesialis jika gejala Anda tidak membaik dalam dua minggu ke depan.
persuade,The lawyer managed to persuade the jury with a compelling closing argument backed by solid evidence.,설득하다,변호사는 확실한 증거에 뒷받침된 설득력 있는 최종 변론으로 배심원을 설득해냈다.,説得する,弁護士は確かな証拠に裏付けられた説得力のある最終弁論で陪審員を説得することができた。,说服,律师以有力证据支持的令人信服的结案陈词成功说服了陪审团。,persuadir,El abogado logró persuadir al jurado con un argumento final convincente respaldado por pruebas sólidas.,thuyết phục,Luật sư đã thuyết phục bồi thẩm đoàn bằng lập luận kết thúc thuyết phục được hỗ trợ bằng bằng chứng vững chắc.,โน้มน้าว,ทนายความสามารถโน้มน้าวคณะลูกขุนด้วยข้อโต้แย้งปิดท้ายที่น่าเชื่อถือซึ่งสนับสนุนด้วยหลักฐานที่หนักแน่น,membujuk,Pengacara berhasil membujuk juri dengan argumen penutup yang meyakinkan dan didukung bukti kuat.
inspire,The keynote speaker hoped to inspire young entrepreneurs to pursue their bold ideas with confidence.,영감을 주다,기조연설자는 젊은 기업가들이 자신감을 가지고 대담한 아이디어를 추구하도록 영감을 주기를 바랐다.,刺激を与える,基調講演者は若い起業家たちが自信を持って大胆なアイデアを追求するよう刺激を与えることを望んだ。,激励,主题演讲者希望能激励年轻企业家自信地追求他们大胆的想法。,inspirar,El orador principal esperaba inspirar a los jóvenes emprendedores a perseguir sus ideas audaces con confianza.,truyền cảm hứng,Diễn giả chính hy vọng sẽ truyền cảm hứng cho các doanh nhân trẻ theo đuổi ý tưởng táo bạo với sự tự tin.,สร้างแรงบันดาลใจ,วิทยากรหลักหวังที่จะสร้างแรงบันดาลใจให้ผู้ประกอบการรุ่นใหม่ไล่ตามแนวคิดที่กล้าหาญด้วยความมั่นใจ,menginspirasi,Pembicara utama berharap dapat menginspirasi pengusaha muda untuk mengejar ide berani mereka dengan percaya diri.
encourage,Teachers should encourage students to ask questions whenever they encounter difficult or confusing concepts.,격려하다,교사들은 학생들이 어렵거나 혼란스러운 개념을 만날 때마다 질문하도록 격려해야 한다.,励ます,教師は生徒が難しい概念や混乱する内容に出会ったときはいつでも質問するよう励ますべきだ。,鼓励,教师应鼓励学生在遇到困难或令人困惑的概念时随时提问。,animar,Los maestros deben animar a los estudiantes a hacer preguntas siempre que encuentren conceptos difíciles o confusos.,khuyến khích,Giáo viên nên khuyến khích học sinh đặt câu hỏi mỗi khi gặp khái niệm khó hoặc khó hiểu.,กระตุ้น,ครูควรกระตุ้นให้นักเรียนถามคำถามทุกครั้งที่เจอแนวคิดที่ยากหรือสับสน,mendorong,Guru harus mendorong siswa untuk bertanya setiap kali mereka menemui konsep yang sulit atau membingungkan.
comfort,The nurse spoke gently to comfort the anxious child before the routine vaccination procedure.,위안을 주다,간호사는 일상적인 예방 접종 절차 전에 불안해하는 아이에게 위안을 주기 위해 부드럽게 말했다.,慰める,看護師は通常の予防接種の前に不安な子どもを慰めるために優しく話しかけた。,安抚,在常规疫苗接种程序之前护士轻声安抚焦虑的孩子。,reconfortar,La enfermera habló suavemente para reconfortar al niño ansioso antes del procedimiento de vacunación rutinario.,xoa dịu,Y tá nói nhẹ nhàng để xoa dịu đứa trẻ lo lắng trước quy trình tiêm chủng thông thường.,ปลอบ,พยาบาลพูดอย่างนุ่มนวลเพื่อปลอบเด็กที่กังวลก่อนขั้นตอนการฉีดวัคซีนตามปกติ,menenangkan,Perawat berbicara lembut untuk menenangkan anak yang gelisah sebelum prosedur vaksinasi rutin.
resent,Many employees resent the new policy that requires extra unpaid overtime during peak business periods.,분개하다,많은 직원들은 성수기 동안 무급 초과 근무를 추가로 요구하는 새 정책에 분개한다.,憤慨する,多くの従業員は繁忙期に追加の無給残業を要求する新しい政策に憤慨している。,愤恨,许多员工对要求在业务高峰期额外加班且不付加班费的新政策感到愤恨。,resentir,Muchos empleados resienten la nueva política que exige horas extras adicionales no remuneradas durante los períodos de mayor actividad.,bực bội,Nhiều nhân viên bực bội với chính sách mới yêu cầu làm thêm giờ không lương trong các giai đoạn kinh doanh cao điểm.,ไม่พอใจ,พนักงานจำนวนมากไม่พอใจนโยบายใหม่ที่กำหนดให้ทำงานล่วงเวลาเพิ่มโดยไม่ได้รับค่าจ้างในช่วงธุรกิจสูงสุด,membenci,Banyak karyawan membenci kebijakan baru yang mewajibkan lembur tambahan tanpa bayaran selama periode bisnis puncak.
forgive,It took her several years to forgive her former business partner after their bitter financial dispute.,용서하다,격렬한 재정 분쟁 이후 그녀가 이전 비즈니스 파트너를 용서하는 데 수년이 걸렸다.,赦す,彼女が激しい財政紛争の後に元のビジネスパートナーを赦すまでには数年かかった。,原谅,在激烈的财务纠纷之后她花了好几年才原谅以前的商业伙伴。,perdonar,Le tomó varios años perdonar a su antiguo socio comercial tras su amarga disputa financiera.,tha thứ,Cô ấy mất vài năm để tha thứ cho đối tác kinh doanh cũ sau tranh chấp tài chính cay đắng của họ.,ให้อภัย,เธอใช้เวลาหลายปีกว่าจะให้อภัยอดีตหุ้นส่วนทางธุรกิจหลังจากข้อพิพาททางการเงินที่ขมขื่น,memaafkan,Dia butuh beberapa tahun untuk memaafkan mantan rekan bisnisnya setelah perselisihan keuangan yang pahit.
encrypt,Modern messaging apps encrypt every conversation so that only the sender and the receiver can read it.,암호화하다,현대의 메시징 앱은 발신자와 수신자만 읽을 수 있도록 모든 대화를 암호화한다.,暗号化する,現代のメッセージングアプリは送信者と受信者だけが読めるようにすべての会話を暗号化する。,加密,现代消息应用对每段对话进行加密以确保只有发送者和接收者能阅读。,cifrar,Las aplicaciones de mensajería modernas cifran cada conversación para que solo el remitente y el destinatario puedan leerla.,mã hóa,Các ứng dụng nhắn tin hiện đại mã hóa mọi cuộc trò chuyện để chỉ người gửi và người nhận có thể đọc được.,เข้ารหัส,แอปส่งข้อความสมัยใหม่เข้ารหัสทุกบทสนทนาเพื่อให้เฉพาะผู้ส่งและผู้รับเท่านั้นที่อ่านได้,mengenkripsi,Aplikasi pesan modern mengenkripsi setiap percakapan sehingga hanya pengirim dan penerima yang dapat membacanya.
integrate,The new software can integrate seamlessly with existing systems without requiring any additional configuration.,통합하다,새 소프트웨어는 추가 구성 없이 기존 시스템과 원활하게 통합될 수 있다.,統合する,新しいソフトウェアは追加の設定なしで既存システムとシームレスに統合できる。,集成,新软件可以与现有系统无缝集成而无需任何额外配置。,integrar,El nuevo software puede integrarse perfectamente con los sistemas existentes sin requerir configuración adicional.,tích hợp,Phần mềm mới có thể tích hợp liền mạch với hệ thống hiện có mà không cần cấu hình bổ sung.,ผนวก,ซอฟต์แวร์ใหม่สามารถผนวกเข้ากับระบบที่มีอยู่ได้อย่างไร้รอยต่อโดยไม่ต้องตั้งค่าเพิ่มเติม,mengintegrasikan,Perangkat lunak baru dapat mengintegrasikan dengan mulus ke sistem yang ada tanpa konfigurasi tambahan.
configure,You must configure the firewall settings carefully before connecting the server to the public internet.,구성하다,서버를 공용 인터넷에 연결하기 전에 방화벽 설정을 신중히 구성해야 한다.,設定する,サーバーを公共インターネットに接続する前にファイアウォール設定を慎重に設定する必要がある。,配置,在将服务器连接到公共互联网之前必须仔细配置防火墙设置。,configurar,Debes configurar los ajustes del firewall cuidadosamente antes de conectar el servidor a internet pública.,cấu hình,Bạn phải cấu hình cài đặt tường lửa cẩn thận trước khi kết nối máy chủ với internet công cộng.,กำหนดค่า,คุณต้องกำหนดค่าการตั้งค่าไฟร์วอลล์อย่างรอบคอบก่อนเชื่อมต่อเซิร์ฟเวอร์กับอินเทอร์เน็ตสาธารณะ,mengonfigurasi,Anda harus mengonfigurasi pengaturan firewall dengan hati-hati sebelum menghubungkan server ke internet publik.
automate,Companies increasingly automate repetitive tasks to allow employees to focus on more strategic work.,자동화하다,기업들은 직원들이 더 전략적인 업무에 집중할 수 있도록 반복적인 작업을 점점 더 자동화한다.,自動化する,企業は従業員がより戦略的な業務に集中できるよう繰り返し作業をますます自動化している。,自动化,公司日益将重复性任务自动化以使员工能专注于更具战略意义的工作。,automatizar,Las empresas automatizan cada vez más las tareas repetitivas para que los empleados se centren en trabajo estratégico.,tự động hóa,Các công ty ngày càng tự động hóa các tác vụ lặp lại để nhân viên tập trung vào công việc chiến lược hơn.,อัตโนมัติ,บริษัทต่างๆ ทำให้งานที่ซ้ำซากเป็นอัตโนมัติมากขึ้นเพื่อให้พนักงานมุ่งเน้นงานเชิงกลยุทธ์,mengotomatisasi,Perusahaan semakin mengotomatisasi tugas berulang agar karyawan fokus pada pekerjaan strategis.
backup,Always backup important files to an external drive before performing any major system updates.,백업하다,주요 시스템 업데이트를 수행하기 전에 항상 중요한 파일을 외장 드라이브에 백업해야 한다.,バックアップする,主要なシステムアップデートを実行する前に必ず重要なファイルを外付けドライブにバックアップすること。,备份,在执行任何重大系统更新之前请务必将重要文件备份到外部驱动器。,respaldar,Siempre respalda los archivos importantes en un disco externo antes de realizar actualizaciones importantes del sistema.,sao lưu,Luôn sao lưu các tệp quan trọng vào ổ cứng ngoài trước khi thực hiện bất kỳ bản cập nhật hệ thống lớn nào.,สำรองข้อมูล,สำรองข้อมูลไฟล์สำคัญลงในไดรฟ์ภายนอกเสมอก่อนทำการอัปเดตระบบที่สำคัญ,mencadangkan,Selalu mencadangkan file penting ke drive eksternal sebelum melakukan pembaruan sistem besar.
install,The technician will install the new printer driver and update the network settings tomorrow afternoon.,설치하다,기술자가 내일 오후에 새 프린터 드라이버를 설치하고 네트워크 설정을 업데이트할 것이다.,インストールする,技術者は明日の午後に新しいプリンタードライバーをインストールしてネットワーク設定を更新する予定だ。,安装,技术员将于明天下午安装新打印机驱动并更新网络设置。,instalar,El técnico instalará el nuevo controlador de impresora y actualizará la configuración de red mañana por la tarde.,cài đặt,Kỹ thuật viên sẽ cài đặt trình điều khiển máy in mới và cập nhật cài đặt mạng vào chiều mai.,ติดตั้ง,ช่างเทคนิคจะติดตั้งไดรเวอร์เครื่องพิมพ์ใหม่และอัปเดตการตั้งค่าเครือข่ายในบ่ายพรุ่งนี้,memasang,Teknisi akan memasang driver printer baru dan memperbarui pengaturan jaringan besok sore.
troubleshoot,Our support team will troubleshoot the connection issues remotely after gathering the necessary diagnostic information.,문제를 해결하다,우리 지원팀은 필요한 진단 정보를 수집한 후 원격으로 연결 문제를 해결할 것이다.,問題を解決する,我々のサポートチームは必要な診断情報を収集した後リモートで接続の問題を解決する。,排查故障,我们的支持团队将在收集必要的诊断信息后远程排查连接故障。,solucionar problemas,Nuestro equipo de soporte solucionará los problemas de conexión de forma remota tras reunir la información diagnóstica necesaria.,khắc phục sự cố,Đội hỗ trợ của chúng tôi sẽ khắc phục sự cố kết nối từ xa sau khi thu thập thông tin chẩn đoán cần thiết.,แก้ไขปัญหา,ทีมสนับสนุนของเราจะแก้ไขปัญหาการเชื่อมต่อจากระยะไกลหลังจากรวบรวมข้อมูลการวินิจฉัยที่จำเป็น,memecahkan masalah,Tim dukungan kami akan memecahkan masalah koneksi dari jarak jauh setelah mengumpulkan informasi diagnostik yang diperlukan.
reschedule,We had to reschedule the client demonstration because the lead engineer caught a sudden flu yesterday evening.,일정을 재조정하다,주임 엔지니어가 어제 저녁 갑작스러운 독감에 걸려서 우리는 고객 시연 일정을 재조정해야 했다.,日程を変更する,主任エンジニアが昨晩急にインフルエンザにかかったため顧客デモの日程を変更しなければならなかった。,重新安排,由于主任工程师昨晚突然患上流感我们不得不重新安排客户演示。,reprogramar,Tuvimos que reprogramar la demostración al cliente porque el ingeniero principal contrajo una gripe repentina anoche.,sắp xếp lại,Chúng tôi phải sắp xếp lại buổi giới thiệu khách hàng vì kỹ sư chính bị cúm đột ngột tối qua.,เลื่อนนัด,เราต้องเลื่อนนัดการสาธิตให้ลูกค้าเพราะวิศวกรหัวหน้าเป็นไข้หวัดใหญ่กะทันหันเมื่อคืนนี้,menjadwalkan ulang,Kami harus menjadwalkan ulang demonstrasi klien karena insinyur utama tiba-tiba terkena flu tadi malam.
confirm,Please confirm your attendance for the upcoming industry conference by replying to this email by Friday.,확인하다,금요일까지 이 이메일에 답장하여 다가오는 업계 컨퍼런스 참석을 확인해 주십시오.,確認する,金曜日までにこのメールに返信して来たる業界会議への出席を確認してください。,确认,请在周五前回复此邮件以确认您出席即将举行的行业会议。,confirmar,Por favor confirma tu asistencia a la próxima conferencia del sector respondiendo a este correo antes del viernes.,xác nhận,Vui lòng xác nhận sự tham dự của bạn cho hội nghị ngành sắp tới bằng cách trả lời email này trước thứ Sáu.,ยืนยัน,กรุณายืนยันการเข้าร่วมการประชุมอุตสาหกรรมที่กำลังจะมาถึงโดยตอบกลับอีเมลนี้ภายในวันศุกร์,mengonfirmasi,Mohon konfirmasi kehadiran Anda untuk konferensi industri mendatang dengan membalas email ini sebelum Jumat.
cancel,The airline had to cancel several flights due to the sudden snowstorm sweeping across the northern region.,취소하다,항공사는 북부 지역을 휩쓴 갑작스러운 눈보라로 인해 여러 항공편을 취소해야 했다.,キャンセルする,航空会社は北部地域を襲った突然の吹雪のためにいくつかのフライトをキャンセルしなければならなかった。,取消,由于突然席卷北部地区的暴风雪航空公司不得不取消多个航班。,cancelar,La aerolínea tuvo que cancelar varios vuelos debido a la repentina tormenta de nieve que arrasó la región norte.,hủy,Hãng hàng không đã phải hủy nhiều chuyến bay do bão tuyết bất ngờ quét qua khu vực phía bắc.,ยกเลิก,สายการบินต้องยกเลิกเที่ยวบินหลายเที่ยวเนื่องจากพายุหิมะกะทันหันที่กวาดผ่านภูมิภาคทางเหนือ,membatalkan,Maskapai harus membatalkan beberapa penerbangan karena badai salju mendadak yang melanda wilayah utara.
modify,Engineers will modify the design based on the user feedback collected during the public testing phase.,수정하다,엔지니어들은 공개 테스트 단계에서 수집된 사용자 피드백을 바탕으로 디자인을 수정할 것이다.,修正する,エンジニアは公開テスト段階で収集されたユーザーフィードバックに基づいてデザインを修正する。,修改,工程师将根据公开测试阶段收集的用户反馈修改设计。,modificar,Los ingenieros modificarán el diseño basándose en los comentarios de los usuarios recopilados durante la fase de pruebas públicas.,sửa đổi,Các kỹ sư sẽ sửa đổi thiết kế dựa trên phản hồi người dùng thu thập trong giai đoạn thử nghiệm công khai.,แก้ไข,วิศวกรจะแก้ไขการออกแบบตามข้อเสนอแนะของผู้ใช้ที่รวบรวมในช่วงการทดสอบสาธารณะ,memodifikasi,Insinyur akan memodifikasi desain berdasarkan umpan balik pengguna yang dikumpulkan selama tahap pengujian publik.
browse,Customers often browse the catalog online for hours before making any final purchasing decision.,둘러보다,고객들은 최종 구매 결정을 내리기 전에 종종 몇 시간 동안 온라인 카탈로그를 둘러본다.,閲覧する,顧客は最終的な購入決定を下す前にオンラインカタログを何時間も閲覧することがよくある。,浏览,顾客在做出最终购买决定之前经常会在线浏览目录数小时。,navegar,Los clientes suelen navegar por el catálogo en línea durante horas antes de tomar una decisión de compra final.,duyệt,Khách hàng thường duyệt danh mục trực tuyến hàng giờ trước khi đưa ra quyết định mua cuối cùng.,เลือกดู,ลูกค้ามักจะเลือกดูแคตตาล็อกออนไลน์เป็นเวลาหลายชั่วโมงก่อนตัดสินใจซื้อขั้นสุดท้าย,menjelajah,Pelanggan sering menjelajah katalog online berjam-jam sebelum membuat keputusan pembelian akhir.
compare,Customers can compare prices and features across multiple brands by using our updated comparison tool.,비교하다,고객은 업데이트된 비교 도구를 사용하여 여러 브랜드의 가격과 기능을 비교할 수 있다.,比較する,顧客は更新された比較ツールを使って複数のブランドの価格と機能を比較することができる。,比较,顾客可以使用我们更新的比较工具来比较多个品牌的价格和功能。,comparar,Los clientes pueden comparar precios y características entre varias marcas usando nuestra herramienta de comparación actualizada.,so sánh,Khách hàng có thể so sánh giá và tính năng giữa nhiều thương hiệu bằng công cụ so sánh đã cập nhật của chúng tôi.,เปรียบเทียบ,ลูกค้าสามารถเปรียบเทียบราคาและคุณสมบัติระหว่างแบรนด์ต่างๆ ได้โดยใช้เครื่องมือเปรียบเทียบที่อัปเดต,membandingkan,Pelanggan dapat membandingkan harga dan fitur di berbagai merek menggunakan alat perbandingan yang diperbarui.
