ennui,"A profound ennui settled over the aristocrats who had exhausted every possible diversion.",권태,모든 가능한 오락을 소진한 귀족들에게 깊은 권태가 밀려왔다.,倦怠; 退屈,あらゆる娯楽を使い果たした貴族たちに深い倦怠感が漂った。,倦怠,一种深深的倦怠笼罩了那些耗尽一切消遣的贵族。,hastío; tedio,Un profundo hastío se apoderó de los aristócratas que habían agotado toda diversión posible.,sự chán chường,Một nỗi chán chường sâu sắc bao trùm những quý tộc đã cạn kiệt mọi thú tiêu khiển.,ความเบื่อหน่าย,ความเบื่อหน่ายอย่างลึกซึ้งปกคลุมเหล่าชนชั้นสูงที่หมดสิ้นความบันเทิงทุกอย่าง,kebosanan mendalam,Kebosanan mendalam menyelimuti para bangsawan yang telah menghabiskan setiap hiburan yang mungkin.
pusillanimous,"The committee's pusillanimous response to the crisis only emboldened the aggressors.",소심한; 비겁한,위기에 대한 위원회의 소심한 대응은 침략자들을 더욱 대담하게 만들었을 뿐이다.,臆病な; 小心な,危機に対する委員会の臆病な対応は侵略者をさらに大胆にさせただけだった。,怯懦的; 胆小的,委员会对危机的怯懦回应只会使侵略者更加大胆。,pusilánime,La respuesta pusilánime del comité ante la crisis solo envalentonó a los agresores.,nhút nhát; hèn nhát,Phản ứng nhút nhát của ủy ban trước cuộc khủng hoảng chỉ khiến kẻ xâm lược thêm táo bạo.,ขี้ขลาด; อ่อนแอ,การตอบสนองที่ขี้ขลาดของคณะกรรมการต่อวิกฤตยิ่งทำให้ผู้รุกรานกล้ามากขึ้น,pengecut; penakut,Respons pengecut komite terhadap krisis hanya membuat agresor semakin berani.
parsimonious,"The parsimonious billionaire lived in a modest apartment and drove a ten-year-old car.",인색한; 구두쇠의,인색한 억만장자는 수수한 아파트에 살며 10년 된 차를 몰았다.,けちな; 吝嗇な,けちなその億万長者は質素なアパートに住み10年前の車を運転していた。,吝啬的; 小气的,这位吝啬的亿万富翁住在一间简朴的公寓里开着一辆十年的旧车。,parsimonioso; tacaño,El multimillonario parsimonioso vivía en un apartamento modesto y conducía un coche de diez años.,keo kiệt; bủn xỉn,Tỷ phú keo kiệt sống trong một căn hộ khiêm tốn và lái chiếc xe mười năm tuổi.,ตระหนี่; ขี้เหนียว,มหาเศรษฐีที่ตระหนี่อาศัยอยู่ในอพาร์ตเมนต์เรียบง่ายและขับรถอายุสิบปี,pelit; kikir,Miliarder yang pelit tinggal di apartemen sederhana dan mengendarai mobil berusia sepuluh tahun.
insouciant,"His insouciant attitude toward deadlines infuriated his more conscientious teammates.",태평한; 무관심한,마감에 대한 그의 태평한 태도는 더 성실한 팀원들을 분노하게 했다.,無頓着な,締め切りに対する彼の無頓着な態度はより真面目なチームメイトを激怒させた。,漫不经心的,他对截止日期漫不经心的态度激怒了更认真的队友。,despreocupado,Su actitud despreocupada hacia los plazos enfurecía a sus compañeros más concienzudos.,vô tư lự; bất cần,Thái độ vô tư lự của anh ta với deadline khiến các đồng đội nghiêm túc hơn tức giận.,ไม่แยแส; สบายๆ,ทัศนคติที่ไม่แยแสต่อเดดไลน์ของเขาทำให้เพื่อนร่วมทีมที่มีความรับผิดชอบโกรธ,acuh tak acuh; santai,Sikapnya yang acuh tak acuh terhadap tenggat waktu membuat rekan timnya yang lebih teliti marah.
vituperate,"The critic did not merely review the film but vituperated it with unrelenting hostility.",매도하다; 심하게 비난하다,비평가는 단지 영화를 평론한 것이 아니라 끊임없는 적개심으로 매도했다.,激しく非難する,批評家は映画を単にレビューしたのではなく容赦ない敵意で激しく非難した。,痛骂; 严厉指责,评论家不仅仅是评论这部电影而是以无情的敌意痛骂它。,vituperar,El crítico no solo reseñó la película sino que la vituperó con hostilidad implacable.,chửi rủa; mắng nhiếc,Nhà phê bình không chỉ đánh giá bộ phim mà còn chửi rủa nó với sự thù địch không ngừng.,ด่าว่าอย่างรุนแรง,นักวิจารณ์ไม่ได้เพียงแค่รีวิวภาพยนตร์ แต่ด่าว่ามันอย่างรุนแรงด้วยความเป็นปฏิปักษ์อย่างไม่ลดละ,mencaci maki,Kritikus tidak sekadar mengulas film tersebut tetapi mencaci makinya dengan permusuhan tanpa henti.
propitious,"The propitious weather conditions allowed the harvest to proceed ahead of schedule.",유리한; 길조의,유리한 기상 조건 덕분에 수확이 예정보다 앞서 진행될 수 있었다.,好都合な; 幸先のよい,好都合な天候条件により収穫は予定より早く進行できた。,有利的; 吉祥的,有利的天气条件使收获得以提前进行。,propicio,Las propicias condiciones climáticas permitieron que la cosecha se realizara antes de lo previsto.,thuận lợi,Điều kiện thời tiết thuận lợi cho phép vụ thu hoạch diễn ra trước kế hoạch.,เป็นมงคล; อำนวย,สภาพอากาศที่อำนวยทำให้สามารถเก็บเกี่ยวได้ก่อนกำหนด,menguntungkan; baik,Kondisi cuaca yang menguntungkan memungkinkan panen dilakukan lebih cepat dari jadwal.
tenebrous,"The tenebrous corridors of the ancient monastery filled the visitors with a sense of foreboding.",어두운; 음침한,고대 수도원의 음침한 복도는 방문객들에게 불길한 느낌을 안겨 주었다.,暗い; 陰鬱な,古代修道院の暗い廊下は訪問者に不吉な予感を抱かせた。,昏暗的; 阴暗的,古老修道院昏暗的走廊让参观者充满了不祥的预感。,tenebroso,Los tenebrosos pasillos del antiguo monasterio llenaron a los visitantes de presentimiento.,tăm tối; u ám,Những hành lang tăm tối của tu viện cổ khiến du khách cảm thấy một điềm gở.,มืดมิด; น่าขนลุก,ทางเดินมืดมิดของอารามโบราณทำให้ผู้มาเยือนรู้สึกหวาดหวั่น,gelap; suram,Koridor gelap biara kuno itu memenuhi pengunjung dengan perasaan firasat buruk.
apocryphal,"The apocryphal tale of the company's founding has been repeated so often that most employees believe it.",출처 불명의; 진위가 의심스러운,회사 설립에 대한 출처 불명의 이야기가 너무 자주 반복되어 대부분의 직원이 그것을 믿고 있다.,作り話の; 真偽不明の,会社設立にまつわるその作り話はあまりに頻繁に繰り返されほとんどの社員が信じている。,杜撰的; 真伪不明的,这个关于公司创立的杜撰故事被重复了太多次以至于大多数员工都信以为真。,apócrifo,La historia apócrifa de la fundación de la empresa se ha repetido tantas veces que la mayoría de los empleados la creen.,ngụy tạo; không xác thực,Câu chuyện ngụy tạo về việc thành lập công ty đã được kể lại quá nhiều lần đến nỗi hầu hết nhân viên đều tin.,ที่ไม่น่าเชื่อถือ; เป็นเรื่องแต่ง,เรื่องเล่าที่ไม่น่าเชื่อถือเกี่ยวกับการก่อตั้งบริษัทถูกเล่าซ้ำบ่อยจนพนักงานส่วนใหญ่เชื่อ,apokrif; tidak jelas kebenarannya,Kisah apokrif tentang pendirian perusahaan telah diulang begitu sering sehingga sebagian besar karyawan mempercayainya.
perspicuous,"The professor's perspicuous explanation made the complex theorem accessible to every student.",명쾌한; 명확한,교수의 명쾌한 설명 덕분에 복잡한 정리가 모든 학생에게 이해 가능해졌다.,明快な; わかりやすい,教授の明快な説明により複雑な定理がすべての学生に理解できるものになった。,清晰的; 明白的,教授清晰的解释使复杂的定理对每个学生都变得易于理解。,perspicuo; claro,La explicación perspicua del profesor hizo que el complejo teorema fuera accesible para todos los estudiantes.,rõ ràng; minh bạch,Lời giải thích rõ ràng của giáo sư khiến định lý phức tạp trở nên dễ hiểu với mọi sinh viên.,ชัดเจน; เข้าใจง่าย,คำอธิบายที่ชัดเจนของอาจารย์ทำให้ทฤษฎีบทที่ซับซ้อนเข้าถึงได้สำหรับนักศึกษาทุกคน,jelas; gamblang,Penjelasan profesor yang gamblang membuat teorema yang kompleks dapat dipahami oleh setiap mahasiswa.
capacitance,"The engineer calculated the capacitance required for the circuit's timing mechanism.",정전용량; 커패시턴스,엔지니어는 회로의 타이밍 메커니즘에 필요한 정전용량을 계산했다.,静電容量,エンジニアは回路のタイミング機構に必要な静電容量を計算した。,电容,工程师计算了电路计时机制所需的电容。,capacitancia,El ingeniero calculó la capacitancia requerida para el mecanismo de temporización del circuito.,điện dung,Kỹ sư đã tính toán điện dung cần thiết cho cơ chế định thời của mạch.,ความจุไฟฟ้า,วิศวกรคำนวณความจุไฟฟ้าที่จำเป็นสำหรับกลไกจับเวลาของวงจร,kapasitansi,Insinyur menghitung kapasitansi yang dibutuhkan untuk mekanisme pewaktuan sirkuit.
extrude,"The factory extrudes aluminum into precise tubular shapes for aerospace components.",압출하다,공장은 항공우주 부품을 위해 알루미늄을 정밀한 관형으로 압출한다.,押し出す,工場は航空宇宙部品用にアルミニウムを精密な管状に押し出す。,挤压; 挤出,工厂将铝挤压成精确的管状形状用于航空航天部件。,extruir,La fábrica extruye aluminio en formas tubulares precisas para componentes aeroespaciales.,ép đùn,Nhà máy ép đùn nhôm thành các hình ống chính xác cho linh kiện hàng không vũ trụ.,อัดรีด,โรงงานอัดรีดอลูมิเนียมเป็นรูปท่อที่แม่นยำสำหรับชิ้นส่วนอากาศยาน,mengekstrusi,Pabrik mengekstrusi aluminium menjadi bentuk tabung presisi untuk komponen kedirgantaraan.
centrifugal,"The centrifugal force generated by the rotating drum separates heavier particles from the mixture.",원심력의,회전하는 드럼에 의해 생성되는 원심력은 혼합물에서 더 무거운 입자를 분리한다.,遠心力の,回転するドラムによって生じる遠心力が混合物からより重い粒子を分離する。,离心的,旋转鼓产生的离心力将较重的颗粒从混合物中分离出来。,centrífugo,La fuerza centrífuga generada por el tambor giratorio separa las partículas más pesadas de la mezcla.,ly tâm,Lực ly tâm tạo ra bởi trống quay tách các hạt nặng hơn ra khỏi hỗn hợp.,แรงหนีศูนย์กลาง,แรงหนีศูนย์กลางที่เกิดจากถังหมุนจะแยกอนุภาคที่หนักกว่าออกจากส่วนผสม,sentrifugal,Gaya sentrifugal yang dihasilkan oleh drum berputar memisahkan partikel yang lebih berat dari campuran.
dielectric,"The dielectric material between the plates prevents direct current flow while allowing capacitance.",유전체의,판 사이의 유전체 재료는 커패시턴스를 허용하면서 직류 흐름을 방지한다.,誘電体の,プレート間の誘電体材料はキャパシタンスを可能にしながら直流の流れを防ぐ。,介电的,板间的介电材料在允许电容的同时阻止直流电流通过。,dieléctrico,El material dieléctrico entre las placas previene el flujo de corriente directa mientras permite la capacitancia.,điện môi,Vật liệu điện môi giữa các bản cực ngăn dòng điện một chiều trong khi cho phép điện dung.,ไดอิเล็กทริก,วัสดุไดอิเล็กทริกระหว่างแผ่นป้องกันกระแสไฟฟ้าตรงในขณะที่อนุญาตให้มีความจุไฟฟ้า,dielektrik,Material dielektrik antara pelat mencegah aliran arus langsung sambil memungkinkan kapasitansi.
actuator,"The hydraulic actuator converts fluid pressure into mechanical motion to control the valve.",액추에이터; 구동장치,유압 액추에이터는 유체 압력을 기계적 운동으로 변환하여 밸브를 제어한다.,アクチュエータ,油圧アクチュエータは流体圧力を機械的運動に変換してバルブを制御する。,执行器; 驱动器,液压执行器将流体压力转换为机械运动以控制阀门。,actuador,El actuador hidráulico convierte la presión del fluido en movimiento mecánico para controlar la válvula.,bộ truyền động,Bộ truyền động thủy lực chuyển đổi áp suất chất lỏng thành chuyển động cơ học để điều khiển van.,แอคชูเอเตอร์,แอคชูเอเตอร์ไฮดรอลิกแปลงแรงดันของไหลเป็นการเคลื่อนที่ทางกลเพื่อควบคุมวาล์ว,aktuator,Aktuator hidrolik mengubah tekanan fluida menjadi gerakan mekanis untuk mengendalikan katup.
annealing,"The annealing process softens the metal by heating it slowly and then allowing it to cool gradually.",어닐링; 풀림,어닐링 공정은 금속을 천천히 가열한 다음 서서히 냉각시켜 부드럽게 만든다.,焼きなまし,焼きなましプロセスは金属をゆっくり加熱し徐々に冷却することで軟化させる。,退火,退火工艺通过缓慢加热金属然后让其逐渐冷却来使金属软化。,recocido,El proceso de recocido ablanda el metal calentándolo lentamente y luego permitiendo que se enfríe gradualmente.,ủ; nung ủ,Quá trình ủ làm mềm kim loại bằng cách nung nóng từ từ rồi để nguội dần.,การอบอ่อน,กระบวนการอบอ่อนทำให้โลหะอ่อนตัวโดยค่อยๆ ให้ความร้อนแล้วปล่อยให้เย็นตัวลงอย่างช้าๆ,anil,Proses anil melembutkan logam dengan memanaskannya secara perlahan kemudian membiarkannya mendingin secara bertahap.
transducer,"The ultrasonic transducer converts electrical signals into high-frequency sound waves for imaging.",변환기,초음파 변환기는 전기 신호를 영상화를 위한 고주파 음파로 변환한다.,トランスデューサ,超音波トランスデューサは電気信号をイメージング用の高周波音波に変換する。,换能器; 传感器,超声波换能器将电信号转换为高频声波用于成像。,transductor,El transductor ultrasónico convierte señales eléctricas en ondas sonoras de alta frecuencia para la formación de imágenes.,đầu dò; bộ chuyển đổi,Đầu dò siêu âm chuyển đổi tín hiệu điện thành sóng âm tần số cao để tạo hình ảnh.,ตัวแปลงสัญญาณ,ตัวแปลงสัญญาณอัลตราโซนิกแปลงสัญญาณไฟฟ้าเป็นคลื่นเสียงความถี่สูงสำหรับการถ่ายภาพ,transduser,Transduser ultrasonik mengubah sinyal listrik menjadi gelombang suara frekuensi tinggi untuk pencitraan.
viscosity,"The viscosity of the lubricant decreases as temperature rises and must be carefully monitored.",점도,윤활유의 점도는 온도가 올라가면 감소하므로 주의 깊게 모니터링해야 한다.,粘度,潤滑剤の粘度は温度上昇とともに低下し注意深く監視する必要がある。,粘度,润滑剂的粘度随温度升高而降低必须仔细监测。,viscosidad,La viscosidad del lubricante disminuye a medida que aumenta la temperatura y debe monitorearse cuidadosamente.,độ nhớt,Độ nhớt của chất bôi trơn giảm khi nhiệt độ tăng và phải được giám sát cẩn thận.,ความหนืด,ความหนืดของสารหล่อลื่นลดลงเมื่ออุณหภูมิสูงขึ้นและต้องได้รับการตรวจสอบอย่างระมัดระวัง,viskositas,Viskositas pelumas menurun seiring kenaikan suhu dan harus dipantau dengan cermat.
combustion,"Incomplete combustion in the engine produces carbon monoxide and other harmful byproducts.",연소,엔진에서의 불완전 연소는 일산화탄소와 기타 유해 부산물을 생성한다.,燃焼,エンジンでの不完全燃焼は一酸化炭素やその他の有害な副産物を生成する。,燃烧,发动机中的不完全燃烧会产生一氧化碳和其他有害副产品。,combustión,La combustión incompleta en el motor produce monóxido de carbono y otros subproductos dañinos.,sự cháy; sự đốt cháy,Quá trình đốt cháy không hoàn toàn trong động cơ tạo ra carbon monoxide và các sản phẩm phụ có hại khác.,การเผาไหม้,การเผาไหม้ที่ไม่สมบูรณ์ในเครื่องยนต์ผลิตคาร์บอนมอนอกไซด์และผลพลอยได้ที่เป็นอันตรายอื่นๆ,pembakaran,Pembakaran tidak sempurna di mesin menghasilkan karbon monoksida dan produk sampingan berbahaya lainnya.
tokenization,"Tokenization breaks raw text into meaningful units that the language model can process.",토큰화,토큰화는 원시 텍스트를 언어 모델이 처리할 수 있는 의미 있는 단위로 분해한다.,トークン化,トークン化は生のテキストを言語モデルが処理できる意味のある単位に分割する。,分词; 标记化,分词将原始文本分解为语言模型可以处理的有意义单元。,tokenización,La tokenización divide el texto sin procesar en unidades significativas que el modelo de lenguaje puede procesar.,mã hóa token,Mã hóa token chia văn bản thô thành các đơn vị có nghĩa mà mô hình ngôn ngữ có thể xử lý.,การแบ่งโทเค็น,การแบ่งโทเค็นจะแบ่งข้อความดิบออกเป็นหน่วยที่มีความหมายที่โมเดลภาษาสามารถประมวลผลได้,tokenisasi,Tokenisasi memecah teks mentah menjadi unit bermakna yang dapat diproses oleh model bahasa.
embedding,"Word embeddings capture semantic relationships by mapping vocabulary into dense vector spaces.",임베딩,워드 임베딩은 어휘를 밀집 벡터 공간에 매핑하여 의미적 관계를 포착한다.,埋め込み,単語の埋め込みは語彙を密なベクトル空間にマッピングすることで意味的関係を捉える。,嵌入; 向量化,词嵌入通过将词汇映射到稠密向量空间来捕捉语义关系。,incrustación; embedding,Las incrustaciones de palabras capturan relaciones semánticas mapeando vocabulario en espacios vectoriales densos.,nhúng; embedding,Nhúng từ nắm bắt các mối quan hệ ngữ nghĩa bằng cách ánh xạ từ vựng vào không gian vectơ dày đặc.,การฝังตัว,การฝังคำจับความสัมพันธ์เชิงความหมายโดยการแมปคำศัพท์ลงในปริภูมิเวกเตอร์หนาแน่น,embedding,Embedding kata menangkap hubungan semantik dengan memetakan kosakata ke ruang vektor padat.
hyperparameter,"Tuning the hyperparameters of the model required extensive experimentation on validation data.",하이퍼파라미터,모델의 하이퍼파라미터를 조정하려면 검증 데이터에 대한 광범위한 실험이 필요했다.,ハイパーパラメータ,モデルのハイパーパラメータの調整には検証データに対する広範な実験が必要だった。,超参数,调整模型的超参数需要在验证数据上进行大量实验。,hiperparámetro,Ajustar los hiperparámetros del modelo requirió una experimentación extensa con datos de validación.,siêu tham số,Việc điều chỉnh các siêu tham số của mô hình đòi hỏi thử nghiệm rộng rãi trên dữ liệu xác thực.,ไฮเปอร์พารามิเตอร์,การปรับไฮเปอร์พารามิเตอร์ของโมเดลต้องการการทดลองอย่างกว้างขวางกับข้อมูลตรวจสอบ,hyperparameter,Menyetel hyperparameter model memerlukan eksperimentasi ekstensif pada data validasi.
convolution,"The convolution layer extracts spatial features by sliding a filter across the input image.",합성곱,합성곱 레이어는 필터를 입력 이미지 전체에 슬라이딩하여 공간적 특징을 추출한다.,畳み込み,畳み込み層は入力画像全体にフィルタをスライドさせることで空間的特徴を抽出する。,卷积,卷积层通过在输入图像上滑动滤波器来提取空间特征。,convolución,La capa de convolución extrae características espaciales deslizando un filtro a través de la imagen de entrada.,tích chập,Lớp tích chập trích xuất các đặc trưng không gian bằng cách trượt bộ lọc qua ảnh đầu vào.,คอนโวลูชัน,ชั้นคอนโวลูชันดึงคุณลักษณะเชิงพื้นที่โดยเลื่อนฟิลเตอร์ผ่านภาพอินพุต,konvolusi,Lapisan konvolusi mengekstrak fitur spasial dengan menggeser filter melintasi gambar input.
epistemic,"Epistemic humility requires acknowledging the limits of one's knowledge.",인식론적,인식론적 겸손은 자신의 지식의 한계를 인정하는 것을 요구한다.,認識論的,認識論的謙虚さは自分の知識の限界を認めることを要求する。,认识论的,认识论的谦逊要求承认自身知识的局限。,epistémico,La humildad epistémica requiere reconocer los límites del propio conocimiento.,nhận thức luận,Sự khiêm tốn nhận thức luận đòi hỏi phải thừa nhận giới hạn tri thức của mình.,ญาณวิทยา,ความถ่อมตนทางญาณวิทยาต้องการการยอมรับขีดจำกัดของความรู้ตนเอง,epistemis,Kerendahan hati epistemis memerlukan pengakuan atas batasan pengetahuan seseorang.
fiscal austerity,"Fiscal austerity measures led to widespread public sector layoffs.",재정 긴축,재정 긴축 조치는 광범위한 공공 부문 해고로 이어졌다.,財政緊縮,財政緊縮策は広範な公共部門の人員削減につながった。,财政紧缩,财政紧缩措施导致了大范围的公共部门裁员。,austeridad fiscal,Las medidas de austeridad fiscal provocaron despidos generalizados en el sector público.,thắt lưng buộc bụng tài chính,Các biện pháp thắt lưng buộc bụng tài chính dẫn đến sa thải hàng loạt trong khu vực công.,การรัดเข็มขัดทางการคลัง,มาตรการรัดเข็มขัดทางการคลังนำไปสู่การเลิกจ้างในภาครัฐอย่างกว้างขวาง,penghematan fiskal,Langkah-langkah penghematan fiskal menyebabkan pemutusan hubungan kerja sektor publik secara luas.
