polynomial,A quadratic equation is a polynomial of degree two with at most two real roots.,다항식,이차방정식은 최대 두 개의 실수 근을 가지는 2차 다항식이다.,多項式,二次方程式は最大二つの実数根を持つ次数2の多項式である。,多项式,二次方程是一个最多有两个实数根的二次多项式。,polinomio,Una ecuación cuadrática es un polinomio de grado dos con a lo sumo dos raíces reales.,đa thức,Phương trình bậc hai là một đa thức bậc hai có tối đa hai nghiệm thực.,พหุนาม,สมการกำลังสองเป็นพหุนามดีกรีสองที่มีรากจริงได้มากที่สุดสองราก,polinomial,Persamaan kuadrat adalah polinomial berderajat dua dengan paling banyak dua akar nyata.
pulsar,A pulsar emits beams of electromagnetic radiation at remarkably regular intervals as it rotates.,펄서,펄서는 회전하면서 놀라울 정도로 규칙적인 간격으로 전자기 복사선을 방출한다.,パルサー,パルサーは回転しながら驚くほど規則的な間隔で電磁放射のビームを放出する。,脉冲星,脉冲星在旋转时以极其规律的间隔发射电磁辐射束。,púlsar,Un púlsar emite haces de radiación electromagnética a intervalos notablemente regulares mientras rota.,xung tinh,Một xung tinh phát ra các chùm bức xạ điện từ ở khoảng cách thời gian đều đặn đáng kinh ngạc khi nó quay.,พัลซาร์,พัลซาร์ปล่อยลำแสงรังสีแม่เหล็กไฟฟ้าเป็นช่วงเวลาที่สม่ำเสมออย่างน่าทึ่งขณะที่มันหมุน,pulsar,Sebuah pulsar memancarkan berkas radiasi elektromagnetik pada interval yang sangat teratur saat berotasi.
gravitational,Gravitational waves were directly detected for the first time in 2015 confirming Einstein's century-old prediction.,중력의,중력파는 2015년에 처음으로 직접 관측되어 아인슈타인의 한 세기 전 예측을 확인해 주었다.,重力の,重力波は2015年に初めて直接検出されアインシュタインの1世紀前の予測を確認した。,引力的,引力波于2015年首次被直接探测到证实了爱因斯坦一个世纪前的预测。,gravitacional,Las ondas gravitacionales se detectaron directamente por primera vez en 2015 confirmando la predicción centenaria de Einstein.,hấp dẫn,Sóng hấp dẫn được phát hiện trực tiếp lần đầu tiên vào năm 2015 xác nhận dự đoán hàng thế kỷ của Einstein.,แรงโน้มถ่วง,คลื่นความโน้มถ่วงถูกตรวจพบโดยตรงเป็นครั้งแรกในปี 2015 ยืนยันการทำนายของไอน์สไตน์ที่มีอายุหนึ่งศตวรรษ,gravitasi,Gelombang gravitasi terdeteksi secara langsung untuk pertama kalinya pada tahun 2015 mengonfirmasi prediksi Einstein yang berusia satu abad.
exoplanet,The discovery of a potentially habitable exoplanet orbiting a nearby star ignited public interest in space exploration.,외계 행성,인근 별을 공전하는 잠재적으로 거주 가능한 외계 행성의 발견이 우주 탐사에 대한 대중의 관심을 불러일으켰다.,系外惑星,近くの恒星を周回する居住可能性のある系外惑星の発見が宇宙探査への市民の関心に火をつけた。,系外行星,一颗围绕附近恒星运行的可能宜居的系外行星的发现激发了公众对太空探索的兴趣。,exoplaneta,El descubrimiento de un exoplaneta potencialmente habitable orbitando una estrella cercana encendió el interés público en la exploración espacial.,ngoại hành tinh,Việc phát hiện một ngoại hành tinh có thể sinh sống được quay quanh một ngôi sao gần đó đã khơi dậy sự quan tâm của công chúng đối với việc khám phá không gian.,ดาวเคราะห์นอกระบบ,การค้นพบดาวเคราะห์นอกระบบที่อาจอยู่อาศัยได้โคจรรอบดาวฤกษ์ใกล้เคียงจุดประกายความสนใจของสาธารณชนในการสำรวจอวกาศ,eksoplanet,Penemuan eksoplanet yang berpotensi dapat dihuni yang mengorbit bintang terdekat memicu minat publik dalam eksplorasi ruang angkasa.
luminosity,The luminosity of a star is directly correlated with its mass and surface temperature.,광도,별의 광도는 질량과 표면 온도와 직접적으로 관련이 있다.,光度,恒星の光度はその質量と表面温度に直接関連している。,光度,恒星的光度与其质量和表面温度直接相关。,luminosidad,La luminosidad de una estrella está directamente correlacionada con su masa y temperatura superficial.,độ sáng,Độ sáng của một ngôi sao có liên quan trực tiếp đến khối lượng và nhiệt độ bề mặt của nó.,ความส่องสว่าง,ความส่องสว่างของดาวฤกษ์มีความสัมพันธ์โดยตรงกับมวลและอุณหภูมิพื้นผิว,luminositas,Luminositas sebuah bintang berkorelasi langsung dengan massa dan suhu permukaannya.
apogee,At its apogee the satellite reached its maximum distance from the Earth's surface.,원지점,인공위성은 원지점에서 지구 표면으로부터 최대 거리에 도달했다.,遠地点,衛星はその遠地点で地球の表面からの最大距離に達した。,远地点,在远地点卫星达到了离地球表面的最远距离。,apogeo,En su apogeo el satélite alcanzó su distancia máxima de la superficie terrestre.,viễn điểm,Tại viễn điểm vệ tinh đạt khoảng cách tối đa so với bề mặt Trái Đất.,จุดไกลสุด,ที่จุดไกลสุดดาวเทียมอยู่ห่างจากพื้นผิวโลกมากที่สุด,apogee,Pada titik apogee satelit mencapai jarak maksimumnya dari permukaan Bumi.
perihelion,Mercury reaches perihelion every 88 days when it is closest to the Sun.,근일점,수성은 88일마다 태양에 가장 가까워지는 근일점에 도달한다.,近日点,水星は88日ごとに太陽に最も近い近日点に達する。,近日点,水星每88天到达近日点即距太阳最近的位置。,perihelio,Mercurio alcanza el perihelio cada 88 días cuando está más cerca del Sol.,cận nhật điểm,Sao Thủy đạt cận nhật điểm mỗi 88 ngày khi nó ở gần Mặt Trời nhất.,จุดใกล้ดวงอาทิตย์ที่สุด,ดาวพุธถึงจุดใกล้ดวงอาทิตย์ที่สุดทุก 88 วันเมื่อมันอยู่ใกล้ดวงอาทิตย์มากที่สุด,perihelion,Merkurius mencapai perihelion setiap 88 hari saat berada paling dekat dengan Matahari.
spectroscopy,Spectroscopy allows astronomers to determine the chemical composition of distant stars by analysing their emitted light.,분광학,분광학은 천문학자들이 먼 별에서 방출된 빛을 분석하여 화학적 조성을 결정할 수 있게 해준다.,分光学,分光学により天文学者は遠い星が放出する光を分析してその化学組成を決定できる。,光谱学,光谱学使天文学家能够通过分析遥远恒星发出的光来确定其化学成分。,espectroscopía,La espectroscopía permite a los astrónomos determinar la composición química de estrellas distantes analizando su luz emitida.,quang phổ học,Quang phổ học cho phép các nhà thiên văn xác định thành phần hóa học của các ngôi sao xa bằng cách phân tích ánh sáng phát ra từ chúng.,สเปกโทรสโกปี,สเปกโทรสโกปีช่วยให้นักดาราศาสตร์กำหนดองค์ประกอบทางเคมีของดาวฤกษ์ที่อยู่ไกลโดยวิเคราะห์แสงที่ปล่อยออกมา,spektroskopi,Spektroskopi memungkinkan para astronom menentukan komposisi kimia bintang-bintang jauh dengan menganalisis cahaya yang dipancarkannya.
redshift,The redshift of distant galaxies provides compelling evidence that the universe is expanding.,적색편이,먼 은하의 적색편이는 우주가 팽창하고 있다는 설득력 있는 증거를 제공한다.,赤方偏移,遠方の銀河の赤方偏移は宇宙が膨張していることの説得力ある証拠を提供する。,红移,遥远星系的红移为宇宙正在膨胀提供了令人信服的证据。,corrimiento al rojo,El corrimiento al rojo de las galaxias distantes proporciona evidencia convincente de que el universo se está expandiendo.,dịch chuyển đỏ,Sự dịch chuyển đỏ của các thiên hà xa cung cấp bằng chứng thuyết phục rằng vũ trụ đang giãn nở.,การเลื่อนไปทางแดง,การเลื่อนไปทางแดงของกาแล็กซีที่อยู่ห่างไกลให้หลักฐานที่น่าเชื่อว่าจักรวาลกำลังขยายตัว,pergeseran merah,Pergeseran merah dari galaksi-galaksi yang jauh memberikan bukti kuat bahwa alam semesta sedang mengembang.
totalitarian,Totalitarian regimes seek to control every aspect of public and private life through pervasive surveillance and propaganda.,전체주의적인,전체주의 정권은 광범위한 감시와 선전을 통해 공적·사적 생활의 모든 측면을 통제하려 한다.,全体主義の,全体主義体制は広範な監視とプロパガンダを通じて公的・私的生活のあらゆる側面を支配しようとする。,极权主义的,极权主义政权试图通过无处不在的监控和宣传来控制公共和私人生活的方方面面。,totalitario,Los regímenes totalitarios buscan controlar cada aspecto de la vida pública y privada a través de la vigilancia y la propaganda omnipresentes.,toàn trị,Các chế độ toàn trị tìm cách kiểm soát mọi khía cạnh của đời sống công cộng và cá nhân thông qua giám sát và tuyên truyền toàn diện.,เผด็จการเบ็ดเสร็จ,ระบอบเผด็จการเบ็ดเสร็จพยายามควบคุมทุกแง่มุมของชีวิตสาธารณะและส่วนตัวผ่านการเฝ้าระวังและการโฆษณาชวนเชื่อที่แพร่หลาย,totaliter,Rezim totaliter berusaha mengendalikan setiap aspek kehidupan publik dan pribadi melalui pengawasan dan propaganda yang meresap.
libertarian,Libertarian philosophy prioritises individual freedom and minimal state intervention in both economic and personal matters.,자유지상주의의,자유지상주의 철학은 경제적·개인적 문제 모두에서 개인의 자유와 최소한의 국가 개입을 우선시한다.,リバタリアンの,リバタリアン思想は経済的・個人的問題の両方で個人の自由と最小限の国家介入を優先する。,自由至上主义的,自由至上主义哲学在经济和个人事务方面都优先考虑个人自由和最小的国家干预。,libertario,La filosofía libertaria prioriza la libertad individual y la mínima intervención estatal tanto en asuntos económicos como personales.,tự do cá nhân,Triết học tự do cá nhân ưu tiên quyền tự do cá nhân và sự can thiệp tối thiểu của nhà nước trong cả vấn đề kinh tế lẫn cá nhân.,เสรีนิยมสุดขั้ว,ปรัชญาเสรีนิยมสุดขั้วให้ความสำคัญกับเสรีภาพของปัจเจกบุคคลและการแทรกแซงของรัฐให้น้อยที่สุดทั้งในเรื่องเศรษฐกิจและเรื่องส่วนตัว,libertarian,Filosofi libertarian mengutamakan kebebasan individu dan intervensi negara yang minimal baik dalam urusan ekonomi maupun pribadi.
anarchism,Anarchism envisions a society organised through voluntary cooperation rather than coercive governmental structures.,아나키즘; 무정부주의,아나키즘은 강압적인 정부 구조가 아닌 자발적 협력을 통해 조직되는 사회를 구상한다.,アナキズム,アナキズムは強制的な政府構造ではなく自発的な協力によって組織される社会を構想する。,无政府主义,无政府主义设想一个通过自愿合作而非强制政府结构来组织的社会。,anarquismo,El anarquismo imagina una sociedad organizada a través de la cooperación voluntaria en lugar de estructuras gubernamentales coercitivas.,chủ nghĩa vô chính phủ,Chủ nghĩa vô chính phủ hình dung một xã hội được tổ chức thông qua hợp tác tự nguyện thay vì các cấu trúc chính phủ cưỡng bức.,อนาธิปไตย,อนาธิปไตยมองเห็นสังคมที่จัดระเบียบผ่านความร่วมมือโดยสมัครใจแทนโครงสร้างรัฐบาลที่ใช้การบังคับ,anarkisme,Anarkisme membayangkan masyarakat yang diorganisir melalui kerja sama sukarela bukan struktur pemerintahan yang memaksa.
communism,Under communism the means of production are collectively owned and class distinctions are theoretically abolished.,공산주의,공산주의 하에서 생산 수단은 집단적으로 소유되며 계급 구분은 이론적으로 폐지된다.,共産主義,共産主義の下では生産手段は集団的に所有され階級の区別は理論的に廃止される。,共产主义,在共产主义制度下生产资料归集体所有阶级差别在理论上被废除。,comunismo,Bajo el comunismo los medios de producción son de propiedad colectiva y las distinciones de clase son teóricamente abolidas.,chủ nghĩa cộng sản,Dưới chủ nghĩa cộng sản tư liệu sản xuất thuộc sở hữu tập thể và sự phân biệt giai cấp về lý thuyết bị xóa bỏ.,คอมมิวนิสม์,ภายใต้คอมมิวนิสม์ ปัจจัยการผลิตเป็นของส่วนรวมและความแตกต่างทางชนชั้นถูกยกเลิกในทางทฤษฎี,komunisme,Di bawah komunisme alat-alat produksi dimiliki secara kolektif dan perbedaan kelas secara teoritis dihapuskan.
capitalism,Proponents of capitalism argue that free markets drive innovation and allocate resources most efficiently.,자본주의,자본주의 지지자들은 자유 시장이 혁신을 주도하고 자원을 가장 효율적으로 배분한다고 주장한다.,資本主義,資本主義の支持者は自由市場がイノベーションを促進し資源を最も効率的に配分すると主張する。,资本主义,资本主义的支持者认为自由市场推动创新并最有效地配置资源。,capitalismo,Los defensores del capitalismo argumentan que los mercados libres impulsan la innovación y asignan los recursos de manera más eficiente.,chủ nghĩa tư bản,Những người ủng hộ chủ nghĩa tư bản cho rằng thị trường tự do thúc đẩy đổi mới và phân bổ nguồn lực hiệu quả nhất.,ทุนนิยม,ผู้สนับสนุนทุนนิยมโต้แย้งว่าตลาดเสรีขับเคลื่อนนวัตกรรมและจัดสรรทรัพยากรอย่างมีประสิทธิภาพที่สุด,kapitalisme,Pendukung kapitalisme berpendapat bahwa pasar bebas mendorong inovasi dan mengalokasikan sumber daya paling efisien.socialism,Socialism advocates for public or cooperative ownership of the means of production to reduce economic inequality.,사회주의,사회주의는 경제적 불평등을 줄이기 위해 생산 수단의 공적 또는 협동적 소유를 옹호한다.,社会主義,社会主義は経済的不平等を減らすために生産手段の公的または協同的所有を提唱する。,社会主义,社会主义倡导生产资料的公有或合作所有以减少经济不平等。,socialismo,El socialismo aboga por la propiedad pública o cooperativa de los medios de producción para reducir la desigualdad económica.,chủ nghĩa xã hội,Chủ nghĩa xã hội ủng hộ quyền sở hữu công cộng hoặc hợp tác đối với tư liệu sản xuất nhằm giảm bất bình đẳng kinh tế.,สังคมนิยม,สังคมนิยมสนับสนุนการเป็นเจ้าของสาธารณะหรือสหกรณ์ของปัจจัยการผลิตเพื่อลดความเหลื่อมล้ำทางเศรษฐกิจ,sosialisme,Sosialisme mengadvokasi kepemilikan publik atau kooperatif atas alat-alat produksi untuk mengurangi ketimpangan ekonomi.
federalism,Federalism distributes governmental authority between a central body and constituent regional units.,연방주의,연방주의는 정부 권한을 중앙 기관과 구성 지역 단위 간에 분배한다.,連邦主義,連邦主義は政府の権限を中央機関と構成地域単位の間に分配する。,联邦制,联邦制将政府权力分配给中央机构和组成区域单位。,federalismo,El federalismo distribuye la autoridad gubernamental entre un cuerpo central y unidades regionales constituyentes.,chủ nghĩa liên bang,Chủ nghĩa liên bang phân phối quyền lực chính phủ giữa cơ quan trung ương và các đơn vị khu vực thành viên.,สหพันธรัฐนิยม,สหพันธรัฐนิยมกระจายอำนาจรัฐบาลระหว่างองค์กรกลางกับหน่วยภูมิภาคที่เป็นส่วนประกอบ,federalisme,Federalisme mendistribusikan otoritas pemerintahan antara badan pusat dan unit-unit regional konstituen.
populism,Populism frames political conflict as a struggle between ordinary citizens and a corrupt elite.,포퓰리즘; 대중주의,포퓰리즘은 정치적 갈등을 평범한 시민과 부패한 엘리트 사이의 투쟁으로 틀지운다.,ポピュリズム,ポピュリズムは政治的対立を一般市民と腐敗したエリートの闘争として位置づける。,民粹主义,民粹主义将政治冲突定义为普通公民与腐败精英之间的斗争。,populismo,El populismo enmarca el conflicto político como una lucha entre los ciudadanos comunes y una élite corrupta.,chủ nghĩa dân túy,Chủ nghĩa dân túy định hình xung đột chính trị như một cuộc đấu tranh giữa công dân bình thường và giới tinh hoa tham nhũng.,ประชานิยม,ประชานิยมวางกรอบความขัดแย้งทางการเมืองเป็นการต่อสู้ระหว่างประชาชนทั่วไปกับชนชั้นนำที่ฉ้อฉล,populisme,Populisme membingkai konflik politik sebagai perjuangan antara warga biasa dan elit yang korup.
theocracy,In a theocracy religious authorities govern the state and religious law supersedes secular legislation.,신정정치,신정정치에서는 종교 지도자가 국가를 통치하며 종교법이 세속 법률보다 우선한다.,神権政治,神権政治では宗教的権威が国家を統治し宗教法が世俗的な法律に優先する。,神权政治,在神权政治中宗教当局统治国家宗教法律凌驾于世俗立法之上。,teocracia,En una teocracia las autoridades religiosas gobiernan el estado y la ley religiosa reemplaza la legislación secular.,thần quyền,Trong chế độ thần quyền các nhà lãnh đạo tôn giáo cai trị nhà nước và luật tôn giáo thay thế pháp luật thế tục.,เทวาธิปไตย,ในระบอบเทวาธิปไตย ผู้มีอำนาจทางศาสนาปกครองรัฐและกฎหมายศาสนาเหนือกว่ากฎหมายทางโลก,teokrasi,Dalam teokrasi otoritas agama memerintah negara dan hukum agama menggantikan legislasi sekuler.
plutocracy,The concentration of political influence among the ultra-wealthy effectively created a plutocracy.,금권정치,초부유층 사이에 정치적 영향력이 집중되면서 사실상 금권정치가 형성되었다.,金権政治,超富裕層の間に政治的影響力が集中したことで事実上の金権政治が生まれた。,财阀政治,政治影响力在超级富豪中的集中实际上创造了一种财阀政治。,plutocracia,La concentración de influencia política entre los ultrarricos creó efectivamente una plutocracia.,chế độ tài phiệt,Sự tập trung ảnh hưởng chính trị trong tay giới siêu giàu đã tạo ra chế độ tài phiệt trên thực tế.,ธนาธิปไตย,การกระจุกตัวของอิทธิพลทางการเมืองในหมู่คนร่ำรวยที่สุดสร้างธนาธิปไตยอย่างมีประสิทธิผล,plutokrasi,Konsentrasi pengaruh politik di kalangan orang-orang sangat kaya secara efektif menciptakan plutokrasi.
meritocracy,A true meritocracy rewards talent and effort irrespective of social background or inherited privilege.,능력주의,진정한 능력주의는 사회적 배경이나 물려받은 특권에 관계없이 재능과 노력에 보상을 준다.,実力主義,真の実力主義は社会的背景や相続された特権に関係なく才能と努力に報いる。,精英政治,真正的精英政治不论社会背景或世袭特权都会奖励才能和努力。,meritocracia,Una verdadera meritocracia recompensa el talento y el esfuerzo independientemente del origen social o el privilegio heredado.,chế độ nhân tài,Chế độ nhân tài thực sự tưởng thưởng tài năng và nỗ lực bất kể xuất thân xã hội hay đặc quyền thừa kế.,ระบบคุณธรรม,ระบบคุณธรรมที่แท้จริงให้รางวัลแก่ความสามารถและความพยายามโดยไม่คำนึงถึงภูมิหลังทางสังคมหรือสิทธิพิเศษที่สืบทอดมา,meritokrasi,Meritokrasi sejati menghargai bakat dan usaha tanpa memandang latar belakang sosial atau hak istimewa yang diwarisi.
autocracy,The country's gradual slide into autocracy went largely unnoticed until press freedoms had been effectively eliminated.,독재정치,그 나라가 독재정치로 점진적으로 미끄러진 것은 언론의 자유가 사실상 폐지될 때까지 크게 주목받지 못했다.,独裁政治,その国が独裁政治へと徐々に移行したことは報道の自由が事実上排除されるまでほとんど気づかれなかった。,独裁政治,该国逐渐滑向独裁政治但直到新闻自由被有效消除后才被广泛注意到。,autocracia,El deslizamiento gradual del país hacia la autocracia pasó en gran parte desapercibido hasta que las libertades de prensa fueron efectivamente eliminadas.,chế độ chuyên quyền,Sự trượt dần của đất nước vào chế độ chuyên quyền phần lớn không được chú ý cho đến khi quyền tự do báo chí bị loại bỏ trên thực tế.,ระบอบเผด็จการ,การเลื่อนไหลอย่างค่อยเป็นค่อยไปของประเทศสู่ระบอบเผด็จการไม่ได้รับความสนใจจนกว่าเสรีภาพสื่อจะถูกกำจัดอย่างมีประสิทธิผล,otokrasi,Kemunduran negara secara bertahap menuju otokrasi sebagian besar tidak disadari sampai kebebasan pers secara efektif dihilangkan.
