korean,english,alt,situation,note,category
중산층이 점점 줄어들고 있다는 게 체감돼,You can really feel that the middle class is shrinking.,It's obvious that the middle class is disappearing.,경제,middle class = 중산층 / shrinking = 줄어들다,시사
가계부채가 사상 최고래 걱정이다,Household debt hit a record high. That's worrying.,They say household debt is at an all-time high. That's concerning.,경제,household debt = 가계부채 / record high = 사상 최고치,시사
편의점 도시락으로 때우는 사람이 늘었대,More people are getting by on convenience store lunch boxes.,The number of people living off convenience store meals is rising.,물가,get by on = ~로 때우다 / living off = ~에 의존하다,시사
배달비까지 올라서 시켜 먹기도 부담돼,Even delivery fees went up so ordering food is a burden too.,Delivery charges are so high now that ordering in feels like a luxury.,물가,delivery fee = 배달비 / burden = 부담,시사
부자는 더 부자 되고 가난한 사람은 더 힘들어져,"The rich get richer, and the poor have it even harder.","It's the same old story — the wealthy thrive while the poor struggle.",경제,the rich get richer = 부익부 / thrive = 번성하다,시사
1인 가구가 많아지면서 소비 패턴도 바뀌고 있대,Consumer patterns are changing as single-person households increase.,Spending habits are shifting with the rise of people living alone.,경제,single-person household = 1인 가구 / consumer pattern = 소비 패턴,시사
은퇴 후 생활비 걱정이 제일 커,My biggest worry about retirement is living expenses.,The cost of living after retirement is my number one concern.,경제,retirement = 은퇴 / living expenses = 생활비,시사
연금 받을 수 있긴 한 거야 우리 세대는?,Will our generation even get to receive a pension?,Are we actually going to see any pension money when we retire?,경제,pension = 연금 / generation = 세대,시사
소비자 물가 지수가 또 올랐다더라,I heard the consumer price index went up again.,The CPI rose again apparently.,물가,consumer price index (CPI) = 소비자 물가 지수,시사
요즘 사이드잡 없으면 힘든 세상이야,It's a tough world without a side hustle these days.,You practically need a side gig to survive nowadays.,경제,side hustle/side gig = 부업 / tough world = 힘든 세상,시사
중앙은행이 돈을 너무 풀어서 문제야,The central bank printed too much money and that's the problem.,The issue is the central bank flooded the market with cash.,경제,central bank = 중앙은행 / printed money = 돈을 풀다,시사
글로벌 경기 둔화가 우리한테도 영향을 미치겠지,The global economic slowdown will probably affect us too.,We'll definitely feel the impact of the worldwide recession.,경제,economic slowdown = 경기 둔화 / affect = 영향을 미치다,시사
정유가 올라서 기름값이 장난 아니야,Oil prices are up so gas prices are no joke.,Fuel costs are through the roof because crude oil prices spiked.,경제,crude oil = 원유 / through the roof = 하늘을 찌르다,시사
이번 대선 정말 치열하다,This presidential election is really intense.,The race for president is incredibly competitive this time.,선거,presidential election = 대선 / intense = 치열한,시사
투표는 꼭 해야지 안 하면 불평할 자격도 없어,"You have to vote. If you don't, you have no right to complain.","Make sure you vote. You can't complain if you don't show up.",투표,vote = 투표하다 / no right to complain = 불평할 자격이 없다,시사
여당이랑 야당이 맨날 싸우기만 해,"The ruling party and the opposition are always fighting, that's all they do.",All the majority and minority parties do is argue with each other.,정치,ruling party = 여당 / opposition = 야당,시사
공약은 거창한데 지킬 수 있을까,"The campaign promises sound grand, but can they actually keep them?","Big promises during the election, but will they follow through?",선거,campaign promise = 공약 / follow through = 이행하다,시사
국회에서 또 법안 통과시켰대,They passed another bill in the National Assembly.,The parliament approved a new law again.,정치,bill = 법안 / National Assembly = 국회,시사
정치인들 말만 번지르르하고 행동은 없어,Politicians are all talk and no action.,Politicians make fancy speeches but never deliver.,정치,all talk and no action = 말만 하고 행동은 없다 / deliver = 실행하다,시사
이번 정책은 좀 현실적인 것 같아,This policy actually seems realistic.,I think this policy is grounded in reality for once.,정책,policy = 정책 / realistic = 현실적인,시사
국민 청원 서명 해봤어?,Have you signed any national petitions?,Did you ever participate in a public petition?,정치,national petition = 국민 청원 / sign = 서명하다,시사
세금 낭비하는 거 보면 진짜 열 받아,It really makes me angry to see tax money being wasted.,Seeing taxpayer money go to waste is infuriating.,정치,tax money = 세금 / wasted = 낭비되다 / infuriating = 분노하게 하는,시사
탄핵 뉴스 보고 깜짝 놀랐어,I was shocked when I saw the impeachment news.,The impeachment headlines caught me completely off guard.,정치,impeachment = 탄핵 / caught off guard = 놀라다,시사
정치에 관심 없다는 게 사치인 시대야,"In this day and age, being apolitical is a luxury.",Not caring about politics is a privilege these days.,정치,apolitical = 정치에 무관심한 / privilege = 사치/특권,시사
여론조사 결과가 매일 달라져서 모르겠어,Poll results change every day so I have no idea what to expect.,The survey numbers flip-flop daily. It's hard to predict.,선거,poll = 여론조사 / flip-flop = 오락가락하다,시사
지방선거는 관심이 좀 덜하긴 해,Local elections don't get as much attention.,People tend to care less about regional elections.,선거,local election = 지방선거 / attention = 관심,시사
국회의원들 세비가 너무 많은 거 아니야?,Don't you think lawmakers' salaries are way too high?,Isn't the pay for members of parliament excessive?,정치,lawmaker = 국회의원 / salary = 세비 / excessive = 과도한,시사
복지 예산을 어디에 쓰느냐가 중요하지,What matters is where the welfare budget gets spent.,It's all about how they allocate the social welfare funds.,정책,welfare budget = 복지 예산 / allocate = 배분하다,시사
대통령 지지율이 계속 떨어지고 있대,The president's approval rating keeps dropping.,Presidential approval is on a downward trend.,정치,approval rating = 지지율 / downward trend = 하락세,시사
정당 간 협력이 필요한 시기인데 왜 이러는지,It's a time when bipartisan cooperation is needed. Why are they acting like this?,This is when parties should work together but they just keep bickering.,정치,bipartisan cooperation = 초당적 협력 / bickering = 다투다,시사
선거 때만 되면 길에 현수막이 넘쳐나,Election banners are everywhere on the streets when elections come around.,The streets get flooded with campaign banners every election season.,선거,election banner = 선거 현수막 / flooded with = 넘쳐나다,시사
후보자 토론 봤어? 누가 잘한 것 같아?,Did you watch the candidates' debate? Who do you think did better?,Did you catch the debate? Who won in your opinion?,선거,debate = 토론 / candidate = 후보자,시사
정치 뉴스 볼 때마다 한숨만 나와,Every time I watch political news I just sigh.,Political news always makes me sigh these days.,정치,sigh = 한숨 쉬다,시사
사전투표 했어? 줄이 엄청 길었어,Did you do early voting? The lines were crazy long.,I went to vote early. The queue was insane.,선거,early voting = 사전투표 / queue = 줄,시사
그 장관 경질됐다는 뉴스 봤어?,Did you see the news that the minister got dismissed?,Heard they fired that cabinet minister?,정치,minister = 장관 / dismissed/fired = 경질되다,시사
정치 성향 때문에 친구랑 싸운 적 있어?,Have you ever fought with a friend over political views?,Did you and your friend ever clash because of your political stance?,정치,political views/stance = 정치 성향 / clash = 충돌하다,시사
그 법안 통과되면 우리한테 직접 영향 있어,"If that bill passes, it'll directly affect us.",That legislation would have a direct impact on us if it goes through.,정책,bill/legislation = 법안 / direct impact = 직접적 영향,시사
국민 세금으로 그걸 한다고? 말이 돼?,They're using taxpayer money for that? Does that even make sense?,Spending public funds on that? That's ridiculous.,정치,taxpayer money = 국민 세금 / make sense = 말이 되다,시사
선거 공약 이행률이 얼마나 되는지 궁금해,I wonder what percentage of election promises actually get fulfilled.,I'm curious about the follow-through rate on campaign pledges.,선거,fulfillment rate = 이행률 / campaign pledge = 선거 공약,시사
정치 개혁이 시급해,Political reform is urgently needed.,We need political reform and we need it now.,정치,political reform = 정치 개혁 / urgently = 시급하게,시사
비례대표제에 대해서 어떻게 생각해?,What do you think about the proportional representation system?,How do you feel about proportional representation?,정치,proportional representation = 비례대표제,시사
무효표가 그렇게 많았다니 놀라워,I'm surprised there were so many invalid ballots.,The number of spoiled votes was shocking.,선거,invalid ballot = 무효표 / spoiled vote = 무효표,시사
야당이 반대만 하는 건 아닌지 모르겠어,I'm not sure if the opposition is just opposing everything for the sake of it.,Is the opposition party just blocking everything without any alternatives?,정치,opposition = 야당 / for the sake of it = 그냥 반대를 위한,시사
이번 개각으로 뭐가 달라질까,What's gonna change with this cabinet reshuffle?,Will the cabinet shake-up actually make any difference?,정치,cabinet reshuffle = 개각 / make a difference = 달라지다,시사
요즘 탄소중립 많이 얘기하더라,Everyone's been talking about carbon neutrality lately.,Carbon neutrality is a big topic these days.,환경,carbon neutrality = 탄소중립,시사
기후변화 체감된다 여름이 갈수록 더워져,"I can feel climate change. Summers keep getting hotter every year.",Climate change is real. Each summer is worse than the last.,기후변화,climate change = 기후변화 / getting hotter = 더워지다,시사
분리수거 제대로 하는 사람이 얼마나 될까,I wonder how many people actually recycle properly.,Do people really sort their recycling correctly?,환경,recycle/sort recycling = 분리수거하다,시사
전기차 보급이 빨라지고 있긴 한데 충전소가 부족해,"Electric vehicles are spreading fast, but there aren't enough charging stations.",EV adoption is growing but the charging infrastructure can't keep up.,환경,electric vehicle (EV) = 전기차 / charging station = 충전소,시사
자연재해가 점점 더 빈번해지고 있어,Natural disasters are becoming more and more frequent.,We're seeing natural disasters happen more often than ever.,환경,natural disaster = 자연재해 / frequent = 빈번한,시사
일회용품 줄이기 운동에 동참하고 있어?,Are you participating in the movement to reduce single-use items?,Have you been cutting back on disposable products?,환경,single-use items = 일회용품 / cut back on = 줄이다,시사
미세먼지 때문에 밖에 나가기가 무서워,The fine dust is so bad I'm scared to go outside.,I don't want to go out because of the air pollution.,환경,fine dust = 미세먼지 / air pollution = 대기오염,시사
태양광 에너지가 대세가 될 거라고 생각해?,Do you think solar energy will become the mainstream?,Is solar power really going to be the future?,환경,solar energy = 태양광 에너지 / mainstream = 대세,시사
플라스틱 오염이 심각해 바다가 쓰레기장이야,Plastic pollution is serious. The ocean is basically a landfill.,Plastic waste is out of control. Our oceans are turning into garbage dumps.,환경,plastic pollution = 플라스틱 오염 / landfill = 쓰레기 매립지,시사
이번 폭우 피해가 엄청났다더라,I heard the damage from the heavy rain was massive.,The flooding from the downpour was devastating apparently.,자연재해,heavy rain = 폭우 / devastating = 엄청난 피해를 주는,시사
원전 재가동에 대해서 찬반이 나뉘더라,Opinions are divided on restarting nuclear power plants.,People are split on bringing nuclear plants back online.,환경,nuclear power plant = 원전 / divided = 나뉘다,시사
탄소세 도입해야 한다고 생각해?,Do you think we should introduce a carbon tax?,Should the government implement a carbon tax?,환경,carbon tax = 탄소세 / implement = 도입하다,시사
그린워싱하는 기업들이 너무 많아,Too many companies are greenwashing.,So many businesses just pretend to be eco-friendly.,환경,greenwashing = 그린워싱(위장 환경주의) / eco-friendly = 친환경적인,시사
해수면 상승으로 섬나라들이 위험하대,Island nations are in danger because of rising sea levels.,Rising sea levels are threatening to swallow small island countries.,환경,rising sea levels = 해수면 상승 / island nations = 섬나라,시사
에코백 쓴다고 환경이 살아나는 건 아니지,Using an eco bag alone isn't going to save the environment.,Carrying a tote bag doesn't automatically make you environmentally conscious.,환경,eco bag = 에코백 / environmentally conscious = 환경 의식이 있는,시사
산불이 매년 더 심해지는 것 같아,Wildfires seem to be getting worse every year.,Forest fires are becoming more severe annually.,환경,wildfire = 산불 / severe = 심각한,시사
재생에너지 비중을 늘려야 하는 거 맞지?,We should increase the share of renewable energy right?,Shouldn't we be expanding our use of renewable energy?,환경,renewable energy = 재생에너지 / share/proportion = 비중,시사
이상기후가 일상이 돼버렸어,Extreme weather has become the new normal.,Abnormal climate patterns are just everyday life now.,기후변화,extreme weather = 이상기후 / new normal = 새로운 일상,시사
음식물 쓰레기도 환경오염의 큰 원인이래,Food waste is actually a major cause of environmental pollution.,Apparently food waste contributes significantly to pollution.,환경,food waste = 음식물 쓰레기 / contribute to = ~에 기여하다,시사
전기료 폭탄 맞을까 봐 에어컨 못 틀겠어,I'm afraid of getting hit with a huge electricity bill so I can't turn on the AC.,I don't dare use the air conditioner because I'm worried about the electric bill.,환경,electricity bill = 전기료 / huge bill = 폭탄 요금,시사
기업들이 ESG 경영한다고 하는데 진짜일까,"Companies say they're doing ESG management, but is it for real?",All these corporations claim to follow ESG principles but I'm skeptical.,환경,ESG = 환경·사회·지배구조 / skeptical = 회의적인,시사
가뭄이 심해서 농작물 피해가 크대,The drought is so severe that crop damage is extensive.,Farming communities are suffering heavy losses due to the drought.,환경,drought = 가뭄 / crop damage = 농작물 피해,시사
제로 웨이스트 생활 실천하기 쉽지 않아,Living a zero-waste lifestyle isn't easy to practice.,Zero-waste living is easier said than done.,환경,zero waste = 제로 웨이스트 / easier said than done = 말이 쉽지,시사
빙하가 녹는 속도가 예상보다 빠르대,Glaciers are melting faster than expected.,The rate of glacier melt is exceeding predictions.,환경,glacier = 빙하 / exceeding predictions = 예상을 초과하다,시사
환경 문제는 개인 노력만으론 한계가 있어,Individual effort alone has its limits when it comes to environmental issues.,Personal action isn't enough to solve environmental problems.,환경,individual effort = 개인 노력 / limits = 한계,시사
요즘 폭염 때문에 사망자도 나왔대,There have been deaths from the heat wave recently.,People have actually died from the extreme heat lately.,기후변화,heat wave = 폭염 / deaths = 사망자,시사
생태계가 무너지고 있다는 전문가 말이 무섭다,It's scary when experts say the ecosystem is collapsing.,Environmental scientists warning about ecosystem collapse is terrifying.,환경,ecosystem = 생태계 / collapsing = 무너지다,시사
수소차가 전기차보다 미래가 밝을까?,Does the hydrogen car have a brighter future than the electric car?,Will hydrogen vehicles outshine EVs in the long run?,환경,hydrogen car = 수소차 / outshine = 능가하다,시사
멸종위기 동물 뉴스 보면 마음이 아파,It breaks my heart to see news about endangered species.,Hearing about endangered animals always makes me sad.,환경,endangered species = 멸종위기종 / breaks my heart = 마음이 아프다,시사
우리 세대가 환경 문제를 해결 못 하면 다음 세대가 고생해,"If our generation can't solve environmental issues, the next generation will suffer.","If we don't fix the environment now, our kids will pay the price.",환경,next generation = 다음 세대 / pay the price = 대가를 치르다,시사
ChatGPT 나오고 나서 세상이 완전 바뀌었어,The world completely changed after ChatGPT came out.,Everything's been different since ChatGPT hit the scene.,AI,hit the scene = 등장하다,시사
AI가 내 일자리를 대체할까 봐 걱정돼,I'm worried AI might replace my job.,I'm concerned about AI taking over my career.,AI,replace = 대체하다 / take over = 차지하다,시사
자율주행차 사고 뉴스 보면 아직 멀었나 싶어,"When I see self-driving car accident news, I think we're still far from ready.",Autonomous vehicle crashes make me doubt the technology.,기술,self-driving car = 자율주행차 / autonomous vehicle = 자율주행 차량,시사
개인정보 유출 사건이 너무 잦아,Personal data breaches happen way too often.,There are way too many data leak incidents.,기술,data breach = 개인정보 유출 / incident = 사건,시사
메타버스가 진짜 대세가 될 수 있을까?,Can the metaverse really become mainstream?,Is the metaverse actually going to take off?,기술,metaverse = 메타버스 / take off = 인기를 얻다,시사
딥페이크 기술이 무서운 세상이야,It's a scary world with deepfake technology.,Deepfake tech is genuinely frightening.,기술,deepfake = 딥페이크 / frightening = 무서운,시사
5G가 생각보다 체감이 안 되는 것 같아,5G doesn't feel as noticeable as I expected.,I honestly can't tell much difference with 5G.,기술,noticeable = 체감되는 / tell the difference = 차이를 느끼다,시사
AI한테 물어보면 답을 바로 알려주니까 편하긴 해,It's convenient that AI gives you answers right away when you ask.,It's nice how AI can give instant responses to your questions.,AI,convenient = 편리한 / instant response = 즉각적인 응답,시사
로봇이 배달하는 시대가 올 줄은 몰랐어,I never thought we'd see the day when robots deliver things.,Robot delivery is something I never imagined becoming reality.,기술,robot delivery = 로봇 배달 / never imagined = 상상도 못 했다,시사
사이버 보안이 점점 중요해지고 있어,Cybersecurity is becoming more and more important.,Digital security is growing in importance every day.,기술,cybersecurity = 사이버 보안 / growing in importance = 중요성이 커지다,시사
AI 그림 그리는 거 봤어? 진짜 사람이 그린 것 같아,Have you seen AI-generated art? It looks like a real person drew it.,Did you check out AI artwork? It's indistinguishable from human work.,AI,AI-generated = AI가 만든 / indistinguishable = 구별할 수 없는,시사
빅데이터 분석으로 범죄 예방도 한다더라,They say they can prevent crime with big data analysis.,Big data analytics is even being used for crime prevention.,기술,big data = 빅데이터 / crime prevention = 범죄 예방,시사
반도체 전쟁이 장난 아니야 국가 간 경쟁이 치열해,The semiconductor war is no joke. Competition between countries is fierce.,The global chip race is intense. Nations are battling for dominance.,기술,semiconductor = 반도체 / fierce = 치열한,시사
요즘 아이들은 태어날 때부터 스마트폰 세대야,Kids these days are the smartphone generation from birth.,Today's children are born digital natives.,기술,smartphone generation = 스마트폰 세대 / digital native = 디지털 네이티브,시사
블록체인 기술이 금융 말고 다른 데도 쓰인다더라,Blockchain technology is used in areas beyond just finance.,I heard blockchain has applications outside of the financial sector.,기술,blockchain = 블록체인 / applications = 적용 분야,시사
AI 면접관이 면접 보는 회사도 있대,Some companies even have AI conducting job interviews.,There are companies where an AI interviewer handles the hiring process.,기술,AI interviewer = AI 면접관 / hiring process = 채용 과정,시사
드론 택배 서비스 진짜 시작하나 봐,It looks like drone delivery services are actually starting.,Drone package delivery seems to be becoming a reality.,기술,drone delivery = 드론 택배 / becoming a reality = 현실이 되다,시사
챗봇 상담 받으면 사람이랑 대화하는 것 같아,When I chat with a chatbot it feels like talking to a real person.,Chatbot conversations are getting eerily close to human interactions.,기술,chatbot = 챗봇 / eerily close = 소름끼칠 정도로 비슷한,시사
클라우드 서비스 장애 나면 회사 업무가 마비돼,When cloud services go down it paralyzes company operations.,A cloud outage can bring an entire business to a standstill.,기술,cloud service = 클라우드 서비스 / outage = 장애 / standstill = 마비,시사
AI 규제가 필요하다는 목소리가 커지고 있어,There's a growing voice calling for AI regulation.,More and more people are demanding that AI be regulated.,기술,AI regulation = AI 규제 / growing voice = 커지는 목소리,시사
증강현실 기술이 교육에도 활용되고 있대,Augmented reality technology is being used in education too.,AR is finding its way into classrooms now.,기술,augmented reality (AR) = 증강현실,시사
스마트팩토리 도입하는 기업이 늘고 있어,More companies are adopting smart factories.,Smart factory implementation is on the rise.,기술,smart factory = 스마트팩토리 / implementation = 도입,시사
디지털 디톡스 해본 적 있어? 폰 없이 하루 버티기,Have you ever tried a digital detox? Going a whole day without your phone.,Ever attempted a digital detox? Surviving a day phoneless?,기술,digital detox = 디지털 디톡스 / surviving = 버티다,시사
양자컴퓨터가 상용화되면 암호 체계가 다 뚫린대,"If quantum computers are commercialized, all encryption systems could be broken.","Once quantum computing goes mainstream, current encryption won't hold up.",기술,quantum computer = 양자컴퓨터 / encryption = 암호 체계,시사
웨어러블 기기로 건강 관리하는 사람 많아졌어,More people are managing their health with wearable devices.,Wearable tech for health tracking has really taken off.,기술,wearable device = 웨어러블 기기 / health tracking = 건강 관리,시사
저출산 문제가 진짜 심각해 나라가 소멸할 수도 있대,The low birth rate is really serious. They say the country could disappear.,The declining birth rate is so critical that national extinction is a possibility.,저출산,low birth rate = 저출산 / national extinction = 국가 소멸,시사
고령화 사회가 되면서 복지 비용이 엄청 늘어나겠지,Welfare costs are going to skyrocket as we become an aging society.,Social welfare spending will surge with the aging population.,고령화,aging society = 고령화 사회 / skyrocket = 급증하다,시사
빈부격차가 갈수록 심해지는 것 같아,The gap between the rich and poor seems to be widening.,Income inequality keeps getting worse.,양극화,gap between rich and poor = 빈부격차 / income inequality = 소득 불평등,시사
전세 구하기가 하늘의 별 따기야,Finding a jeonse rental is like trying to catch a star.,Getting a jeonse deposit lease is nearly impossible.,주거,jeonse = 전세(보증금 임대) / nearly impossible = 거의 불가능한,시사
교육 격차가 결국 계층 격차로 이어져,"The education gap ultimately leads to a class divide.",Educational inequality ends up becoming social inequality.,교육격차,education gap = 교육 격차 / class divide = 계층 격차,시사
육아 때문에 일을 그만두는 여성이 아직도 많아,There are still many women who quit their jobs because of childcare.,Too many women are still forced to leave work for child-rearing.,사회문제,childcare = 육아 / quit = 그만두다,시사
청년 실업이 사회 문제 중 가장 심각해,Youth unemployment is the most serious social problem.,Joblessness among young people is the biggest issue we face.,사회문제,youth unemployment = 청년 실업,시사
1인 가구 비율이 전체 가구의 절반을 넘었대,Single-person households now make up more than half of all households.,Solo living has surpassed 50 percent of all household types.,사회문제,single-person household = 1인 가구 / surpassed = 넘다,시사
학벌 사회가 바뀌어야 하는데 쉽지 않아,"The credential-obsessed society needs to change, but it's not easy.","We need to move past academic elitism, but that's easier said than done.",사회문제,credential-obsessed = 학벌 중심의 / academic elitism = 학벌주의,시사
지방 소멸 위기가 현실이 되고 있어,The risk of rural areas disappearing is becoming a reality.,Small towns dying out is no longer just a prediction.,사회문제,rural areas disappearing = 지방 소멸 / prediction = 예측,시사
노인 빈곤율이 OECD 국가 중 최고래,Korea's elderly poverty rate is the highest among OECD countries.,We have the worst senior poverty rate in the OECD.,고령화,elderly poverty rate = 노인 빈곤율 / OECD = 경제협력개발기구,시사
결혼을 안 하겠다는 젊은 사람들이 늘고 있어,More young people are choosing not to get married.,An increasing number of youth are opting out of marriage.,사회문제,opting out of = ~을 하지 않기로 선택하다,시사
사교육비가 너무 많이 들어서 부모들이 힘들어해,Private education costs are so high that parents are struggling.,The expense of private tutoring is a huge burden on families.,교육격차,private education = 사교육 / burden = 부담,시사
노키즈존이 논란이 되고 있어 차별이냐 권리냐,No-kids zones are controversial. Is it discrimination or a right?,The no-kids zone debate keeps going. Discrimination or business rights?,사회문제,no-kids zone = 노키즈존 / discrimination = 차별,시사
디지털 소외 계층이 생기고 있어 어르신들이 힘들어,A digitally excluded class is forming. The elderly are struggling.,Seniors are being left behind in the digital age.,사회문제,digitally excluded = 디지털 소외 / left behind = 뒤처지다,시사
주 52시간제 지키는 회사가 얼마나 될까,How many companies actually follow the 52-hour workweek?,I wonder how many businesses truly comply with the 52-hour work limit.,사회문제,52-hour workweek = 주 52시간제 / comply with = 준수하다,시사
다문화 가정이 늘면서 사회 인식도 바뀌어야 해,"As multicultural families increase, social awareness needs to change too.",With more multicultural households we need greater social acceptance.,사회문제,multicultural family = 다문화 가정 / social awareness = 사회 인식,시사
반지하 주거 문제가 심각해 안전 문제도 있고,"Semi-basement housing is a serious issue, with safety concerns too.",Living in semi-basement apartments is dangerous and inhumane.,주거,semi-basement = 반지하 / safety concerns = 안전 문제,시사
장애인 편의시설이 턱없이 부족해,Facilities for disabled people are woefully inadequate.,Accessibility infrastructure is severely lacking.,사회문제,facilities for disabled = 장애인 편의시설 / woefully inadequate = 턱없이 부족한,시사
세대 갈등이 심해지고 있어 서로 이해를 못 해,"Generational conflict is getting worse. Neither side understands each other.",The generation gap is growing. There's a real lack of mutual understanding.,사회문제,generational conflict = 세대 갈등 / mutual understanding = 상호 이해,시사
독거노인 문제가 갈수록 심각해지고 있어,The problem of elderly people living alone is getting more serious.,The issue of isolated seniors is worsening by the year.,고령화,elderly living alone = 독거노인 / isolated = 고립된,시사
비정규직 차별을 없애야 한다고 생각해,I think we need to eliminate discrimination against non-regular workers.,We should end the unfair treatment of temporary employees.,사회문제,non-regular workers = 비정규직 / discrimination = 차별,시사
공교육이 무너지고 있다는 말이 나올 정도야,It's gotten to the point where people say public education is collapsing.,Public education is in such bad shape that people say it's falling apart.,교육격차,public education = 공교육 / collapsing = 무너지다,시사
주거비 부담 때문에 수도권 탈출하는 사람도 있어,"Some people are fleeing the Seoul metro area because of housing costs.",Housing is so expensive in the capital region that people are leaving.,주거,flee = 탈출하다 / capital region = 수도권,시사
N포 세대라는 말이 씁쓸해 뭐든 포기해야 하니까,The term N-po generation is bitter because you have to give up everything.,It's sad that young people are called the give-up generation.,사회문제,N-po generation = N포 세대(N가지를 포기한 세대) / give up = 포기하다,시사
코로나 이후로 정신건강 관리가 중요해졌어,Mental health care became important after COVID.,Taking care of your mental health has been a priority since the pandemic.,정신건강,mental health care = 정신건강 관리 / priority = 우선순위,시사
백신 맞았어? 부작용 걱정되지 않아?,Did you get vaccinated? Aren't you worried about side effects?,Have you gotten your shot? Any concerns about adverse reactions?,건강,vaccinated = 백신 접종한 / side effects = 부작용,시사
의료비가 너무 비싸서 병원 가기가 무서워,Medical costs are so expensive that I'm scared to go to the hospital.,Healthcare is so pricey I'm afraid to see a doctor.,의료,medical costs = 의료비 / healthcare = 의료 서비스,시사
건강보험료가 또 올랐어 월급에서 빠지는 게 많아,Health insurance premiums went up again. So much gets deducted from my paycheck.,They raised the health insurance fees again. My take-home pay keeps shrinking.,건강,health insurance premium = 건강보험료 / deducted = 공제되다,시사
우울증 환자가 급격히 늘었다더라,I heard depression patients have increased dramatically.,The number of people with depression has surged.,정신건강,depression = 우울증 / surged = 급증하다,시사
