english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
ameliorate,"New policies were enacted to ameliorate working conditions.",개선하다,"근로 조건을 개선하기 위해 새로운 정책이 시행되었다.",改善する,"労働条件を改善するために新しい政策が制定された。",改善,"颁布了新政策以改善工作条件。",mejorar,"Se promulgaron nuevas políticas para mejorar las condiciones laborales.",cải thiện,"Các chính sách mới được ban hành để cải thiện điều kiện làm việc.",ปรับปรุง,"มีการออกนโยบายใหม่เพื่อปรับปรุงสภาพการทำงาน",memperbaiki,"Kebijakan baru diberlakukan untuk memperbaiki kondisi kerja."
analogous,"The human brain is often considered analogous to a computer.",유사한,"인간의 뇌는 종종 컴퓨터와 유사하다고 여겨진다.",類似した,"人間の脳はしばしばコンピュータに類似したものとみなされる。",类似的,"人脑常被认为与计算机类似。",análogo,"El cerebro humano se considera a menudo análogo a una computadora.",tương tự,"Bộ não người thường được xem là tương tự máy tính.",คล้ายคลึง,"สมองมนุษย์มักถูกมองว่าคล้ายคลึงกับคอมพิวเตอร์",analog,"Otak manusia sering dianggap analog dengan komputer."
anomalous,"The anomalous weather patterns puzzled climatologists.",비정상적인,"비정상적인 기상 패턴은 기후학자들을 당혹시켰다.",異常な,"異常な気象パターンは気候学者を困惑させた。",异常的,"异常的天气模式令气候学家困惑。",anómalo,"Los patrones climáticos anómalos desconcertaron a los climatólogos.",dị thường,"Các kiểu thời tiết dị thường khiến các nhà khí hậu học bối rối.",ผิดปกติ,"รูปแบบสภาพอากาศที่ผิดปกติทำให้นักภูมิอากาศวิทยาฉงน",anomali,"Pola cuaca anomali membingungkan para klimatolog."
antiquated,"The factory still uses antiquated machinery.",구식의,"그 공장은 여전히 구식 기계를 사용한다.",時代遅れの,"その工場はまだ時代遅れの機械を使っている。",过时的,"工厂仍在使用过时的机器。",anticuado,"La fábrica todavía usa maquinaria anticuada.",lỗi thời,"Nhà máy vẫn sử dụng máy móc lỗi thời.",ล้าสมัย,"โรงงานยังคงใช้เครื่องจักรที่ล้าสมัย",kuno,"Pabrik itu masih menggunakan mesin yang kuno."
apparatus,"The laboratory apparatus must be sterilized before use.",장치,"실험실 장치는 사용 전에 소독해야 한다.",装置,"実験装置は使用前に滅菌しなければならない。",仪器,"实验室仪器使用前必须消毒。",aparato,"El aparato de laboratorio debe esterilizarse antes de usarlo.",thiết bị,"Thiết bị phòng thí nghiệm phải được khử trùng trước khi sử dụng.",อุปกรณ์,"อุปกรณ์ห้องปฏิบัติการต้องฆ่าเชื้อก่อนใช้งาน",peralatan,"Peralatan laboratorium harus disterilkan sebelum digunakan."
articulate,"She articulated her arguments with clarity and precision.",명확히 표현하다,"그녀는 주장을 명확하고 정밀하게 표현했다.",明確に述べる,"彼女は論点を明確かつ正確に述べた。",清晰表达,"她清晰而准确地表达了自己的论点。",articular,"Ella articuló sus argumentos con claridad y precisión.",diễn đạt rõ ràng,"Cô ấy diễn đạt rõ ràng các luận điểm với sự chính xác.",แสดงออกอย่างชัดเจน,"เธอแสดงออกข้อโต้แย้งอย่างชัดเจนและแม่นยำ",mengartikulasikan,"Dia mengartikulasikan argumennya dengan jelas dan tepat."
ascertain,"Researchers sought to ascertain the cause of the outbreak.",확인하다,"연구자들은 발병 원인을 확인하고자 했다.",確認する,"研究者たちは発生の原因を確認しようとした。",查明,"研究人员试图查明疫情的原因。",determinar,"Los investigadores buscaron determinar la causa del brote.",xác định,"Các nhà nghiên cứu tìm cách xác định nguyên nhân bùng phát.",ตรวจสอบ,"นักวิจัยพยายามตรวจสอบสาเหตุของการระบาด",memastikan,"Peneliti berusaha memastikan penyebab wabah tersebut."
assimilate,"Immigrants gradually assimilate into the host culture.",동화하다,"이민자들은 점차 주류 문화에 동화된다.",同化する,"移民は徐々にホスト文化に同化する。",同化,"移民逐渐融入当地文化。",asimilarse,"Los inmigrantes se asimilan gradualmente a la cultura anfitriona.",hội nhập,"Người nhập cư dần hội nhập vào văn hóa bản địa.",กลืนกลาย,"ผู้อพยพค่อยๆ กลืนกลายเข้ากับวัฒนธรรมเจ้าบ้าน",berasimilasi,"Imigran secara bertahap berasimilasi ke dalam budaya tuan rumah."
autonomous,"The region declared itself an autonomous territory.",자치적인,"그 지역은 스스로를 자치 영토로 선언했다.",自治の,"その地域は自治領であると宣言した。",自治的,"该地区宣布自己为自治领土。",autónomo,"La región se declaró territorio autónomo.",tự trị,"Khu vực này tuyên bố là lãnh thổ tự trị.",ปกครองตนเอง,"ภูมิภาคประกาศตัวเป็นดินแดนปกครองตนเอง",otonom,"Wilayah itu mendeklarasikan diri sebagai wilayah otonom."
benevolent,"The benevolent donor funded scholarships for underprivileged students.",자비로운,"자비로운 기부자가 저소득 학생들을 위한 장학금을 지원했다.",慈悲深い,"慈悲深い寄付者が恵まれない学生のための奨学金を提供した。",仁慈的,"仁慈的捐赠者为贫困学生提供了奖学金。",benevolente,"El donante benevolente financió becas para estudiantes desfavorecidos.",nhân từ,"Nhà tài trợ nhân từ đã tài trợ học bổng cho sinh viên khó khăn.",เมตตา,"ผู้บริจาคที่เมตตาให้ทุนการศึกษาแก่นักเรียนด้อยโอกาส",dermawan,"Donatur dermawan membiayai beasiswa untuk siswa kurang mampu."
circumscribe,"Constitutional law circumscribes the power of the executive.",제한하다,"헌법은 행정부의 권력을 제한한다.",制限する,"憲法は行政権を制限する。",限制,"宪法限制了行政权力。",circunscribir,"La ley constitucional circunscribe el poder del ejecutivo.",giới hạn,"Luật hiến pháp giới hạn quyền lực hành pháp.",จำกัดขอบเขต,"กฎหมายรัฐธรรมนูญจำกัดขอบเขตอำนาจฝ่ายบริหาร",membatasi,"Hukum konstitusi membatasi kekuasaan eksekutif."
coalesce,"Several smaller parties coalesced into a single opposition bloc.",합치다,"여러 소규모 정당들이 하나의 야당 블록으로 합쳐졌다.",合体する,"いくつかの小政党が一つの野党ブロックに合体した。",联合,"几个小党联合成一个反对派集团。",fusionarse,"Varios partidos pequeños se fusionaron en un solo bloque opositor.",liên kết,"Một số đảng nhỏ liên kết thành một khối đối lập.",รวมตัว,"พรรคเล็กหลายพรรครวมตัวเป็นกลุ่มฝ่ายค้านเดียว",bergabung,"Beberapa partai kecil bergabung menjadi satu blok oposisi."
cognizant,"Managers must be cognizant of cultural differences in global teams.",인식하는,"관리자는 글로벌 팀의 문화적 차이를 인식해야 한다.",認識している,"マネージャーはグローバルチームの文化的差異を認識していなければならない。",认识到的,"管理者必须认识到全球团队中的文化差异。",consciente,"Los gerentes deben ser conscientes de las diferencias culturales.",nhận thức,"Quản lý phải nhận thức được sự khác biệt văn hóa trong đội ngũ toàn cầu.",ตระหนักรู้,"ผู้จัดการต้องตระหนักรู้ถึงความแตกต่างทางวัฒนธรรมในทีมระดับโลก",menyadari,"Manajer harus menyadari perbedaan budaya dalam tim global."
commensurate,"Salary should be commensurate with experience and qualifications.",상응하는,"급여는 경험과 자격에 상응해야 한다.",相応の,"給与は経験と資格に相応でなければならない。",相称的,"薪资应与经验和资历相称。",proporcional,"El salario debe ser proporcional a la experiencia y las cualificaciones.",tương xứng,"Mức lương phải tương xứng với kinh nghiệm và trình độ.",สมน้ำสมเนื้อ,"เงินเดือนควรสมน้ำสมเนื้อกับประสบการณ์และคุณสมบัติ",sepadan,"Gaji harus sepadan dengan pengalaman dan kualifikasi."
compelling,"The prosecution presented compelling evidence against the defendant.",설득력 있는,"검찰은 피고에 대한 설득력 있는 증거를 제시했다.",説得力のある,"検察は被告に対する説得力のある証拠を提示した。",令人信服的,"检方提出了令人信服的证据。",convincente,"La fiscalía presentó pruebas convincentes contra el acusado.",thuyết phục,"Công tố viên trình bày bằng chứng thuyết phục chống lại bị cáo.",น่าเชื่อถือ,"อัยการนำเสนอหลักฐานที่น่าเชื่อถือต่อจำเลย",meyakinkan,"Jaksa menghadirkan bukti yang meyakinkan terhadap terdakwa."
conceivable,"Every conceivable solution was explored before the decision.",생각할 수 있는,"결정 전에 생각할 수 있는 모든 해결책이 검토되었다.",考えられる,"決定前にあらゆる考えられる解決策が検討された。",可以想到的,"在做出决定之前探索了所有可以想到的解决方案。",concebible,"Se exploró toda solución concebible antes de la decisión.",có thể hình dung,"Mọi giải pháp có thể hình dung đều được khám phá trước khi quyết định.",ที่นึกออก,"ทุกทางออกที่นึกออกถูกสำรวจก่อนตัดสินใจ",yang bisa dibayangkan,"Setiap solusi yang bisa dibayangkan dieksplorasi sebelum keputusan."
connotation,"The word 'home' carries warm connotations beyond its literal meaning.",함축,"'집'이라는 단어는 문자적 의미를 넘어 따뜻한 함축을 지닌다.",含意,"「家」という言葉はその文字通りの意味を超えた温かい含意を持つ。",内涵,"'家'这个词具有超越字面意义的温暖内涵。",connotación,"La palabra 'hogar' tiene connotaciones cálidas más allá de su significado literal.",hàm ý,"Từ 'nhà' mang hàm ý ấm áp ngoài nghĩa đen.",นัยแฝง,"คำว่า 'บ้าน' มีนัยแฝงที่อบอุ่นเกินกว่าความหมายตรงตัว",konotasi,"Kata 'rumah' membawa konotasi hangat di luar makna literalnya."
conscientious,"A conscientious researcher double-checks all data before publishing.",성실한,"성실한 연구자는 출판 전에 모든 데이터를 재확인한다.",良心的な,"良心的な研究者は出版前にすべてのデータを再確認する。",认真负责的,"认真负责的研究者在发表前会反复核实所有数据。",concienzudo,"Un investigador concienzudo verifica todos los datos antes de publicar.",tận tâm,"Nhà nghiên cứu tận tâm kiểm tra lại tất cả dữ liệu trước khi công bố.",รอบคอบ,"นักวิจัยที่รอบคอบตรวจสอบข้อมูลทั้งหมดก่อนเผยแพร่",teliti,"Peneliti yang teliti memeriksa ulang semua data sebelum menerbitkan."
consolidate,"The company consolidated its market position through acquisitions.",통합하다,"회사는 인수를 통해 시장 지위를 통합했다.",統合する,"会社は買収を通じて市場での地位を統合した。",巩固,"公司通过收购巩固了市场地位。",consolidar,"La empresa consolidó su posición en el mercado mediante adquisiciones.",củng cố,"Công ty củng cố vị thế thị trường thông qua các vụ mua lại.",รวบรวม,"บริษัทรวบรวมตำแหน่งทางการตลาดผ่านการเข้าซื้อกิจการ",mengonsolidasikan,"Perusahaan mengonsolidasikan posisi pasarnya melalui akuisisi."
contingent,"Funding is contingent upon successful completion of the first phase.",~에 달려 있는,"자금 지원은 첫 번째 단계의 성공적 완료에 달려 있다.",~次第の,"資金提供は第一段階の成功裏の完了次第である。",取决于,"资金取决于第一阶段的成功完成。",contingente,"La financiación es contingente a la finalización exitosa de la primera fase.",tùy thuộc,"Tài trợ tùy thuộc vào việc hoàn thành thành công giai đoạn đầu tiên.",ขึ้นอยู่กับ,"เงินทุนขึ้นอยู่กับการดำเนินระยะแรกให้สำเร็จ",bergantung pada,"Pendanaan bergantung pada keberhasilan penyelesaian fase pertama."
corroborate,"Witness testimony corroborated the forensic evidence.",확증하다,"증인 증언이 법의학적 증거를 확증했다.",裏付ける,"証人の証言が法医学的証拠を裏付けた。",证实,"证人证词证实了法医证据。",corroborar,"El testimonio del testigo corroboró la evidencia forense.",chứng thực,"Lời khai của nhân chứng chứng thực bằng chứng pháp y.",ยืนยัน,"คำให้การของพยานยืนยันหลักฐานทางนิติวิทยาศาสตร์",menguatkan,"Kesaksian saksi menguatkan bukti forensik."
cursory,"A cursory glance at the report revealed several errors.",피상적인,"보고서를 피상적으로 훑어보니 여러 오류가 발견되었다.",ざっとした,"報告書をざっと見ただけでいくつかの誤りが見つかった。",粗略的,"粗略地看了一下报告就发现了几个错误。",superficial,"Un vistazo superficial al informe reveló varios errores.",sơ lược,"Cái nhìn sơ lược vào báo cáo đã phát hiện một số lỗi.",ผิวเผิน,"การมองผิวเผินที่รายงานพบข้อผิดพลาดหลายจุด",sekilas,"Pandangan sekilas pada laporan mengungkapkan beberapa kesalahan."
curtail,"Budget cuts curtailed the scope of the research project.",축소하다,"예산 삭감으로 연구 프로젝트의 범위가 축소되었다.",縮小する,"予算削減により研究プロジェクトの範囲が縮小された。",缩减,"预算削减缩减了研究项目的范围。",recortar,"Los recortes presupuestarios recortaron el alcance del proyecto de investigación.",cắt giảm,"Cắt giảm ngân sách đã thu hẹp phạm vi dự án nghiên cứu.",ตัดทอน,"การตัดงบประมาณตัดทอนขอบเขตของโครงการวิจัย",memangkas,"Pemotongan anggaran memangkas ruang lingkup proyek penelitian."
debilitating,"The debilitating disease left him unable to work.",쇠약하게 하는,"그 쇠약하게 하는 질병으로 그는 일할 수 없게 되었다.",衰弱させる,"衰弱させる病気のせいで彼は働けなくなった。",使人衰弱的,"使人衰弱的疾病使他无法工作。",debilitante,"La enfermedad debilitante lo dejó incapaz de trabajar.",làm suy nhược,"Căn bệnh làm suy nhược khiến anh ấy không thể làm việc.",ทำให้อ่อนแอ,"โรคที่ทำให้อ่อนแอทำให้เขาไม่สามารถทำงานได้",melemahkan,"Penyakit yang melemahkan membuatnya tidak bisa bekerja."
deference,"Students showed deference to the distinguished professor.",경의,"학생들은 저명한 교수에게 경의를 표했다.",敬意,"学生たちは著名な教授に敬意を示した。",尊重,"学生们对这位杰出的教授表示尊重。",deferencia,"Los estudiantes mostraron deferencia al distinguido profesor.",sự kính trọng,"Sinh viên thể hiện sự kính trọng đối với vị giáo sư danh tiếng.",ความเคารพ,"นักศึกษาแสดงความเคารพต่อศาสตราจารย์ผู้มีชื่อเสียง",penghormatan,"Mahasiswa menunjukkan penghormatan kepada profesor terkemuka."
delineate,"The contract delineates the responsibilities of each party.",묘사하다,"계약서는 각 당사자의 책임을 묘사한다.",描写する,"契約は各当事者の責任を描写する。",描述,"合同描述了各方的责任。",delinear,"El contrato delinea las responsabilidades de cada parte.",phác thảo,"Hợp đồng phác thảo trách nhiệm của mỗi bên.",กำหนดขอบเขต,"สัญญากำหนดขอบเขตความรับผิดชอบของแต่ละฝ่าย",menggambarkan,"Kontrak menggambarkan tanggung jawab masing-masing pihak."
demographic,"Demographic shifts are reshaping the labor market.",인구통계학적,"인구통계학적 변화가 노동 시장을 재편하고 있다.",人口統計の,"人口統計の変化が労働市場を再形成している。",人口统计的,"人口统计变化正在重塑劳动力市场。",demográfico,"Los cambios demográficos están reconfigurando el mercado laboral.",nhân khẩu học,"Những thay đổi nhân khẩu học đang định hình lại thị trường lao động.",ด้านประชากร,"การเปลี่ยนแปลงด้านประชากรกำลังเปลี่ยนรูปแบบตลาดแรงงาน",demografis,"Perubahan demografis sedang membentuk ulang pasar tenaga kerja."
denounce,"Human rights groups denounced the government's actions.",비난하다,"인권 단체들은 정부의 조치를 비난했다.",非難する,"人権団体は政府の行動を非難した。",谴责,"人权组织谴责了政府的行为。",denunciar,"Los grupos de derechos humanos denunciaron las acciones del gobierno.",lên án,"Các nhóm nhân quyền lên án hành động của chính phủ.",ประณาม,"กลุ่มสิทธิมนุษยชนประณามการกระทำของรัฐบาล",mengecam,"Kelompok hak asasi manusia mengecam tindakan pemerintah."
deplete,"Overfishing has depleted marine stocks to critical levels.",고갈시키다,"남획으로 해양 자원이 위험 수준으로 고갈되었다.",枯渇させる,"乱獲により海洋資源が危機的水準まで枯渇した。",耗尽,"过度捕捞已将海洋资源消耗至危急水平。",agotar,"La sobrepesca ha agotado las poblaciones marinas a niveles críticos.",cạn kiệt,"Đánh bắt quá mức đã làm cạn kiệt nguồn hải sản đến mức nguy hiểm.",ทำให้หมดลง,"การจับปลามากเกินไปทำให้ทรัพยากรทางทะเลหมดลงจนถึงระดับวิกฤต",menghabiskan,"Penangkapan ikan berlebihan telah menghabiskan stok laut hingga tingkat kritis."
detrimental,"Excessive screen time is detrimental to children's development.",해로운,"과도한 스크린 시간은 아이들의 발달에 해롭다.",有害な,"過度なスクリーンタイムは子供の発達に有害である。",有害的,"过多的屏幕时间对儿童发育有害。",perjudicial,"El tiempo excesivo frente a pantallas es perjudicial para el desarrollo de los niños.",có hại,"Thời gian sử dụng màn hình quá nhiều có hại cho sự phát triển của trẻ.",เป็นอันตราย,"เวลาหน้าจอมากเกินไปเป็นอันตรายต่อพัฒนาการของเด็ก",merugikan,"Waktu layar berlebihan merugikan perkembangan anak."
dichotomy,"There is a clear dichotomy between theory and practice.",이분법,"이론과 실천 사이에 명확한 이분법이 있다.",二分法,"理論と実践の間には明確な二分法がある。",二分法,"理论与实践之间存在明显的二分法。",dicotomía,"Hay una clara dicotomía entre teoría y práctica.",sự phân đôi,"Có sự phân đôi rõ ràng giữa lý thuyết và thực hành.",การแบ่งสอง,"มีการแบ่งสองอย่างชัดเจนระหว่างทฤษฎีและการปฏิบัติ",dikotomi,"Ada dikotomi yang jelas antara teori dan praktik."
discrepancy,"Auditors found a discrepancy between reported and actual figures.",불일치,"감사관들은 보고된 수치와 실제 수치 사이의 불일치를 발견했다.",不一致,"監査人は報告された数字と実際の数字の不一致を発見した。",差异,"审计人员发现报告数据与实际数据之间存在差异。",discrepancia,"Los auditores encontraron una discrepancia entre las cifras reportadas y las reales.",sự chênh lệch,"Kiểm toán viên phát hiện sự chênh lệch giữa số liệu báo cáo và thực tế.",ความคลาดเคลื่อน,"ผู้ตรวจสอบพบความคลาดเคลื่อนระหว่างตัวเลขที่รายงานกับตัวเลขจริง",ketidaksesuaian,"Auditor menemukan ketidaksesuaian antara angka yang dilaporkan dan yang sebenarnya."
disseminate,"The WHO works to disseminate health information globally.",보급하다,"WHO는 전 세계적으로 건강 정보를 보급하기 위해 노력한다.",普及する,"WHOは健康情報を世界中に普及させるために活動している。",传播,"世卫组织致力于在全球传播健康信息。",difundir,"La OMS trabaja para difundir información sanitaria a nivel mundial.",phổ biến,"WHO nỗ lực phổ biến thông tin sức khỏe trên toàn cầu.",เผยแพร่,"องค์การอนามัยโลกทำงานเพื่อเผยแพร่ข้อมูลสุขภาพทั่วโลก",menyebarkan,"WHO bekerja untuk menyebarkan informasi kesehatan secara global."
divergent,"The committee held divergent views on the proposed legislation.",상이한,"위원회는 제안된 법안에 대해 상이한 견해를 가지고 있었다.",分岐した,"委員会は提案された法案について分岐した見解を持っていた。",分歧的,"委员会对拟议立法持有分歧的观点。",divergente,"El comité tenía opiniones divergentes sobre la legislación propuesta.",khác biệt,"Ủy ban có quan điểm khác biệt về dự luật đề xuất.",แตกต่าง,"คณะกรรมการมีมุมมองที่แตกต่างกันเกี่ยวกับกฎหมายที่เสนอ",berbeda,"Komite memiliki pandangan yang berbeda tentang undang-undang yang diusulkan."
doctrine,"The Monroe Doctrine shaped American foreign policy for decades.",교리,"먼로 독트린은 수십 년간 미국 외교 정책을 형성했다.",教義,"モンロー主義は何十年にもわたってアメリカの外交政策を形作った。",学说,"门罗主义塑造了美国数十年的外交政策。",doctrina,"La Doctrina Monroe moldeó la política exterior estadounidense durante décadas.",học thuyết,"Học thuyết Monroe đã định hình chính sách đối ngoại Mỹ trong nhiều thập kỷ.",หลักคำสอน,"หลักคำสอนมอนโรกำหนดนโยบายต่างประเทศของอเมริกาเป็นเวลาหลายทศวรรษ",doktrin,"Doktrin Monroe membentuk kebijakan luar negeri Amerika selama beberapa dekade."
dormant,"The volcano remained dormant for over a century.",휴면 상태의,"그 화산은 한 세기 이상 휴면 상태로 남아 있었다.",休眠中の,"その火山は一世紀以上休眠状態のままだった。",休眠的,"这座火山已休眠了一个多世纪。",inactivo,"El volcán permaneció inactivo durante más de un siglo.",không hoạt động,"Ngọn núi lửa không hoạt động trong hơn một thế kỷ.",สงบนิ่ง,"ภูเขาไฟสงบนิ่งมานานกว่าหนึ่งศตวรรษ",tidak aktif,"Gunung berapi itu tetap tidak aktif selama lebih dari satu abad."
efficacy,"Clinical trials demonstrated the efficacy of the new drug.",효능,"임상 시험은 신약의 효능을 입증했다.",有効性,"臨床試験は新薬の有効性を実証した。",功效,"临床试验证明了新药的功效。",eficacia,"Los ensayos clínicos demostraron la eficacia del nuevo medicamento.",hiệu quả,"Thử nghiệm lâm sàng chứng minh hiệu quả của thuốc mới.",ประสิทธิภาพ,"การทดลองทางคลินิกแสดงให้เห็นประสิทธิภาพของยาใหม่",kemanjuran,"Uji klinis menunjukkan kemanjuran obat baru."
elicit,"The survey was designed to elicit honest responses from participants.",이끌어 내다,"설문조사는 참가자들로부터 솔직한 응답을 이끌어 내도록 설계되었다.",引き出す,"調査は参加者から正直な回答を引き出すように設計された。",引出,"调查旨在引出参与者的真实回答。",provocar,"La encuesta fue diseñada para provocar respuestas honestas de los participantes.",gợi ra,"Khảo sát được thiết kế để gợi ra phản hồi trung thực từ người tham gia.",กระตุ้น,"แบบสำรวจถูกออกแบบเพื่อกระตุ้นคำตอบที่ซื่อสัตย์จากผู้เข้าร่วม",memperoleh,"Survei dirancang untuk memperoleh tanggapan jujur dari peserta."
elucidate,"The professor elucidated the complex theorem with simple examples.",설명하다,"교수는 간단한 예시로 복잡한 정리를 설명했다.",解明する,"教授は簡単な例で複雑な定理を解明した。",阐明,"教授用简单的例子阐明了复杂的定理。",elucidar,"El profesor elucidó el complejo teorema con ejemplos simples.",giải thích rõ,"Giáo sư giải thích rõ định lý phức tạp bằng ví dụ đơn giản.",อธิบายให้กระจ่าง,"อาจารย์อธิบายทฤษฎีบทที่ซับซ้อนให้กระจ่างด้วยตัวอย่างง่ายๆ",menjelaskan,"Profesor menjelaskan teorema kompleks dengan contoh sederhana."
embody,"The constitution embodies the principles of democracy.",구현하다,"헌법은 민주주의의 원칙을 구현한다.",体現する,"憲法は民主主義の原則を体現する。",体现,"宪法体现了民主原则。",encarnar,"La constitución encarna los principios de la democracia.",thể hiện,"Hiến pháp thể hiện các nguyên tắc dân chủ.",รวบรวม,"รัฐธรรมนูญรวบรวมหลักการประชาธิปไตย",mewujudkan,"Konstitusi mewujudkan prinsip-prinsip demokrasi."
encompass,"The study encompasses a wide range of socioeconomic factors.",포괄하다,"그 연구는 광범위한 사회경제적 요인을 포괄한다.",包括する,"その研究は幅広い社会経済的要因を包括する。",涵盖,"该研究涵盖了广泛的社会经济因素。",abarcar,"El estudio abarca una amplia gama de factores socioeconómicos.",bao gồm,"Nghiên cứu bao gồm nhiều yếu tố kinh tế xã hội.",ครอบคลุม,"การศึกษาครอบคลุมปัจจัยทางเศรษฐกิจสังคมที่หลากหลาย",mencakup,"Studi ini mencakup berbagai faktor sosial ekonomi."
